Unnamed: 0	start	end	text	label
157	00:10:42	00:10:46	00 on the nose.	N
158	00:10:46	00:10:49	She was training Alice, moving on at the end of the month.	N
159	00:10:49	00:10:52	I can't believe they're gone.	Y
160	00:10:54	00:10:57	Dr. Gilbert, we need your help.	N
161	00:10:59	00:11:00	Brian Clemonds was murdered.	N
162	00:11:02	00:11:05	Was he having any difficulties?	N
163	00:11:07	00:11:10	Anyone have a grudge against him?	N
164	00:11:12	00:11:17	We understand you don't want a homicide investigation upsetting your students.	N
165	00:11:17	00:11:20	I'm severely deaf, and I can communicate fine.	N
166	00:11:20	00:11:23	I'd appreciate it if you'd look at me when you speak to me.	N
167	00:11:23	00:11:25	I wear a hearing aid and I can read lips.	N
168	00:11:25	00:11:29	You could have asked if I needed an interpreter.	N
169	00:11:29	00:11:32	I'm sorry. I didn't mean to offend you.	N
170	00:11:32	00:11:35	There are 152 students at my school.	N
171	00:11:35	00:11:39	We live together; we study together; we eat together.	N
172	00:11:39	00:11:41	We're a family.	N
173	00:11:41	00:11:43	And Brian is dead.	N
174	00:11:45	00:11:48	Dr. Gilbert, we're just following protocol.	N
175	00:11:48	00:11:53	We need to speak with Brian's friends, his roommates.	N
176	00:11:53	00:11:55	We'll also need access to his records.	N
177	00:11:55	00:11:57	The crime didn't happen here-- it happened out there.	N
178	00:11:57	00:11:59	I'm not accusing anybody of anything.	N
179	00:11:59	00:12:02	Neither am I, but there are more of you, right?	N
180	00:12:02	00:12:10	Send someone else, someone with more understanding of this school of my students.	N
181	00:12:10	00:12:13	But we're here now, and evidence is time sensitive.	N
182	00:12:13	00:12:17	How can you solve a crime without understanding the victim?	N
183	00:12:23	00:12:25	Um, she's kicking us out.	N
184	00:12:49	00:12:50	Hey.	N
185	00:12:50	00:12:52	How'd it go at the college?	N
186	00:12:52	00:12:53	They're not cooperating.	N
187	00:12:53	00:12:56	Yeah, we didn't have a warrant, so she kicked us out.	N
188	00:12:56	00:12:57	What did you do? What did we do?	N
189	00:12:57	00:13:00	We met with the president, asked a few questions.	N
190	00:13:00	00:13:01	She was kind of hostile.	N
191	00:13:01	00:13:03	Like it's our fault we can hear.	N
192	00:13:03	00:13:05	All right. Let's go.	N
193	00:13:13	00:13:14	Dr. Gilbert?	N
194	00:13:15	00:13:16	I'm Gil Grissom with the Crime Lab.	N
195	00:13:16	00:13:18	You kicked my people out of your office.	N
196	00:13:18	00:13:20	Well, I'm kicking you out, too.	N
197	00:13:24	00:13:27	Look, your student is dead.	N
198	00:13:27	00:13:32	Don't you want to know who's responsible? I do.	N
199	00:13:32	00:13:35	Your people can't solve this crime.	N
200	00:13:35	00:13:38	Why? 'Cause they don't understand the victim?	N
201	00:13:39	00:13:42	Help them understand.	N
202	00:13:42	00:13:47	When a deaf person meets a hearing person the hearing person so much as says, I'm normal, you're not.	N
203	00:13:47	00:13:51	Is that what you think I'm saying?	N
204	00:13:51	00:13:54	A student is dead.	N
205	00:13:54	00:13:57	Maybe you feel responsible.	N
206	00:13:57	00:13:59	Maybe you're angry.	N
207	00:13:59	00:14:02	But don't be angry at us.	N
208	00:14:02	00:14:06	We want to help you.	N
209	00:14:06	00:14:10	If I agree to cooperate you will include me in your investigation?	N
210	00:14:10	00:14:12	Yes, I will.	N
211	00:14:12	00:14:14	I welcome your involvement.	N
212	00:14:14	00:14:17	Now...	N
213	00:14:17	00:14:20	may I see Brian Clemonds' file? Please?	N
214	00:14:23	00:14:25	I did nothing wrong.	N
215	00:14:25	00:14:29	Brian filed six complaints against his roommate Paul Arrington.	N
216	00:14:29	00:14:33	Paul lost his hearing less than a year ago-- a tumor.	N
217	00:14:33	00:14:35	He hasn't adjusted. He's angry.	N
218	00:14:35	00:14:36	And he took it out on Brian.	N
219	00:14:36	00:14:38	Assaulted him.	N
220	00:14:39	00:14:40	Brian requested a new roommate.	N
221	00:14:40	00:14:42	Request denied?	N
222	00:14:42	00:14:45	There were no other available beds.	N
223	00:14:45	00:14:47	I want to speak to Paul.	N
224	00:14:47	00:14:49	He doesn't read lips or sign.	N
225	00:14:49	00:14:53	You don't need to hear or speak to communicate.	N
226	00:14:54	00:14:57	Or... commit murder.	N
227	00:15:04	00:15:08	So, you going to tell us how you learned to sign?	N
228	00:15:08	00:15:10	No.	N
229	00:15:11	00:15:14	Well, the president of the college is a real wack job.	N
230	00:15:14	00:15:16	Sara, you see deafness as a pathology.	N
231	00:15:17	00:15:20	For Dr. Gilbert, her deafness is not her handicap it's her way of life.	N
232	00:15:20	00:15:22	You know, I think you might be siding with her.	N
233	00:15:22	00:15:27	As long as you see this as us versus them, you're going to have problems on this case.	N
234	00:15:34	00:15:37	This explains what we're doing.	N
235	00:15:42	00:15:43	What was that all about?	N
236	00:15:43	00:15:45	Grissom signs.	N
237	00:15:45	00:15:48	Do you know what Grissom drinks when he goes out at night?	N
238	00:15:48	00:15:49	He goes out?	N
239	00:15:49	00:15:51	Exactly-- who knows anything about that guy?	N
240	00:15:53	00:15:53	Hey, check that out.	N
241	00:15:53	00:15:56	Oh, I've read about this machine.	N
242	00:15:56	00:15:58	Very Frankenstein.	N
243	00:15:58	00:15:59	Brain printing.	N
244	00:15:59	00:16:01	They call it a visual polygraph.	N
245	00:16:01	00:16:04	You've used one of these before?	N
246	00:16:04	00:16:08	Yeah, back in '97 Grissom and I used one to interview this rapist.	N
247	00:16:08	00:16:12	The guy was mute but his brain waves spoke loud and clear.	N
248	00:16:13	00:16:17	So, you show the suspect slides of the crime scene and if he's our guy...	N
249	00:16:18	00:16:20	the oscillator will give him away.	N
250	00:16:35	00:16:37	Good, he recollects you.	N
251	00:16:45	00:16:46	He recollects the college.	N
252	00:16:54	00:16:56	He recollects Brian.	N
253	00:17:06	00:17:08	No recollection.	N
254	00:17:27	00:17:32	No recollection of the crime scene or of Brian under these conditions.	N
255	00:17:32	00:17:33	May we go now?	N
256	00:18:00	00:18:04	If you want to find the killer look outside the school.	N
257	00:18:34	00:18:35	Grissom!	N
258	00:18:41	00:18:43	Sorry.	N
259	00:18:43	00:18:44	I was thinking.	N
260	00:18:44	00:18:46	About what it's like to be deaf?	N
261	00:18:46	00:18:47	About what it's like to hear.	N
262	00:18:49	00:18:53	Sara told me that you spoke in sign and now you're putting plugs in your ears.	N
263	00:18:53	00:18:55	I'm on a case. Mm-hmm.	N
264	00:18:55	00:18:57	Is that why you forgot about the conference?	N
265	00:18:58	00:19:00	The what?	N
266	00:19:00	00:19:01	You missed the deadline.	N
267	00:19:01	00:19:03	No Chicago for me.	N
268	00:19:03	00:19:05	Oh, Catherine...	N
269	00:19:05	00:19:06	This is the one meeting I needed to attend.	N
270	00:19:06	00:19:09	I don't always want to be second banana.	N
271	00:19:09	00:19:10	I can probably do your job.	N
272	00:19:10	00:19:11	I know that I can do Ecklie's.	N
273	00:19:11	00:19:12	I forgot.	N
274	00:19:12	00:19:14	I'm so sorry.	N
275	00:19:14	00:19:19	Make sure to submit the paperwork by the end of the day.	N
276	00:19:19	00:19:21	I thought you said that it was too late.	N
277	00:19:21	00:19:24	Well, I knew you'd forget so I upped the deadline, gave you a buffer.	N
278	00:19:26	00:19:28	Don't forget again.	N
279	00:19:38	00:19:40	Those the tire treads from the crime scene?	N
280	00:19:40	00:19:47	I photoed the victim's torso and imaged the tread mark-- scanned it got it running through a Tread Assistance CD ROM.	N
281	00:19:47	00:19:48	Any hits?	N
282	00:19:48	00:19:49	Not yet.	N
283	00:19:49	00:19:52	CD database-- 11,033 patterns.	N
284	00:19:52	00:19:54	Could take a while.	N
285	00:19:54	00:19:55	Yeah.	N
286	00:19:55	00:19:57	What are you doing?	N
287	00:19:57	00:19:58	Checking out the dead guy's clothes.	N
288	00:20:08	00:20:10	Whoa.	N
289	00:20:10	00:20:11	What are these?	N
290	00:20:18	00:20:20	What?	N
291	00:20:20	00:20:21	They look like lice.	N
292	00:20:21	00:20:22	Lice?	N
293	00:20:24	00:20:26	Wasn't our dead guy clean?	N
294	00:20:26	00:20:28	Yeah, he was.	N
295	00:20:28	00:20:32	Lice adhere to hair follicles-- I didn't find any stray hairs on him.	N
296	00:20:32	00:20:34	Well, he was in a fight, right?	N
297	00:20:35	00:20:43	Maybe his attacker had lice and they crawled off on his sweater and they got comfy and the stray hair blew away.	N
298	00:20:45	00:20:47	Hey.	N
299	00:20:47	00:20:49	Any luck on the tire treads?	N
300	00:20:49	00:20:52	Computer's still processing but Warrick found something pretty interesting.	N
301	00:20:52	00:20:55	You know anything about lice?	N
302	00:20:55	00:20:57	Yeah, they make your head itch.	N
303	00:20:57	00:21:01	And after head colds the most common medical problem affecting children.	N
304	00:21:01	00:21:03	Little problem no one talks about, huh?	N
305	00:21:04	00:21:08	Hey, Grissom, can I see you for a sec? Stat.	N
306	00:21:09	00:21:11	Stay on the tire treads.	N
307	00:21:12	00:21:13	Warrick?	N
308	00:21:13	00:21:14	Yeah, right behind you.	N
309	00:21:33	00:21:36	A few more numbers and this could have been cake.	N
310	00:21:36	00:21:40	Guess who used to sign Brad Kendall's paychecks six years ago?	Y
311	00:21:40	00:21:41	Frankie Flynn.	N
312	00:21:41	00:21:42	Oh, yeah.	N
313	00:21:44	00:21:45	Hey, Brad, thanks for coming in.	Y
314	00:21:46	00:21:47	We've just got a few more questions.	N
315	00:21:47	00:21:49	Sure.	N
316	00:21:49	00:21:50	You used to work for Flynn?	Y
317	00:21:50	00:21:52	At the Orpheus-- I was a waiter.	Y
318	00:21:52	00:21:53	He came in all the time.	N
319	00:21:53	00:21:54	Sit down.	N
320	00:21:54	00:21:55	Sit down.	N
321	00:21:58	00:22:00	Did you see him outside the coffee shop?	Y
322	00:22:00	00:22:02	Once in a while-- he owned the place.	N
323	00:22:02	00:22:03	He was everywhere.	N
324	00:22:03	00:22:06	Why don't you tell us about your CCW permit.	Y
325	00:22:06	00:22:07	I made cash deposits.	Y
326	00:22:08	00:22:09	I carry a concealed weapon.	Y
327	00:22:09	00:22:10	What kind?	N
328	00:22:10	00:22:12	Glock, nine millimeter.	N
329	00:22:12	00:22:16	We'll need to see the weapon and any spare ammo.	N
330	00:22:16	00:22:17	Yeah, of course, I'll bring it in.	Y
331	00:22:21	00:22:23	I am the man.	N
332	00:22:23	00:22:24	Why, what'd you do?	N
333	00:22:24	00:22:26	Let me guess.	N
334	00:22:26	00:22:28	You ran a DNA profile on the blood off his knuckles and you got a match.	N
335	00:22:28	00:22:30	No.	N
336	00:22:30	00:22:32	You ran a DNA profile and got something distinctive?	N
337	00:22:32	00:22:34	Not quite.	N
338	00:22:34	00:22:35	You got out of bed and dressed yourself?	N
339	00:22:35	00:22:37	No.	N
340	00:22:37	00:22:38	What is it, Greg?	N
341	00:22:41	00:22:42	Just put your nose down the scope.	N
342	00:22:46	00:22:49	Dots of blue light on a red sea.	N
343	00:22:49	00:22:50	Pyoverdin.	N
344	00:22:51	00:22:53	Pyoverdin.	N
345	00:22:53	00:23:00	A pigment excreted from pseudomonas aeruginosa which is a bacteria occasionally found in the bloodstream.	N
346	00:23:00	00:23:01	So what does that give us?	N
347	00:23:01	00:23:03	Your killer has fluorescent blue dots in his blood.	Y
348	00:23:04	00:23:05	So the guy's a glow-stick.	Y
349	00:23:05	00:23:06	How does that help us track him down?	Y
350	00:23:06	00:23:07	Haven't I done enough for one day?	N
351	00:23:08	00:23:11	We have a lead-- I found a partial serial number on the broken taillight.	N
352	00:23:11	00:23:12	I saw it.	N
353	00:23:12	00:23:14	It's missing six digits, it's useless.	N
354	00:23:14	00:23:18	Maybe on its own but the tire tread database kicked out a match.	N
355	00:23:18	00:23:20	The tire belongs to a Ford Explorer.	N
356	00:23:20	00:23:24	A P235-75, manufactured specifically for their SUVs.	N
357	00:23:24	00:23:29	Only one with the same partial serial number is registered in Vegas.	N
358	00:23:29	00:23:35	What do you call a guy with blue dotted blood lice and keys to a Ford Explorer?	N
359	00:23:36	00:23:37	A suspect?	N
360	00:23:37	00:23:39	A killer.	N
361	00:23:49	00:23:52	You found the car that ran over Brian?	N
362	00:23:52	00:23:53	Yes.	N
363	00:23:53	00:23:57	The SUV's registered to Adam Walkey.	Y
364	00:23:57	00:24:00	He's 18 years old; no prior complaints.	Y
365	00:24:00	00:24:02	We're processing it now.	N
366	00:24:02	00:24:03	I promised to keep you informed.	N
367	00:24:04	00:24:05	You kept your word.	N
368	00:24:11	00:24:12	Lice?	N
369	00:24:12	00:24:15	Creepy critters in the passenger seat.	N
370	00:24:16	00:24:18	So... that's why Grissom's late.	N
371	00:24:18	00:24:20	You just don't like other women in his life.	N
372	00:24:20	00:24:23	I'm going to pretend I didn't hear that.	N
373	00:24:24	00:24:27	Affirmative on the head lice.	N
374	00:24:28	00:24:29	Taillights match.	N
375	00:24:31	00:24:33	We have a suspect.	N
376	00:24:33	00:24:36	I'm advising Adam to invoke his Fifth Amendment rights.	Y
377	00:24:36	00:24:40	No charges have been filed and I haven't asked a question.	N
378	00:24:40	00:24:41	Go ahead and ask...	N
379	00:24:41	00:24:42	he won't answer.	Y
380	00:24:42	00:24:44	Well, that's why I suggested we meet here.	Y
381	00:24:44	00:24:46	I don't need him to talk.	Y
382	00:24:46	00:24:48	I just want his blood.	Y
383	00:24:48	00:24:51	Well, for that, you're going to need a warrant.	N
384	00:24:58	00:25:00	This warrant is for blood...	N
385	00:25:01	00:25:03	and a scalp search.	N
386	00:25:03	00:25:06	It's a Licemeister.	N
387	00:25:08	00:25:10	We're going to comb your hair.	Y
388	00:25:13	00:25:15	Talk to me.	N
389	00:25:15	00:25:17	Good news, bad news.	N
390	00:25:17	00:25:19	Same caliber, different gun.	N
391	00:25:20	00:25:22	Bobby?	N
392	00:25:22	00:25:23	Striations don't match.	N
393	00:25:24	00:25:30	The gun that killed those five people at the coffee house isn't your store manager's. The good news is-- all of the nine millimeter bullets fired at the scene...	Y
394	00:25:30	00:25:32	from the same gun.	N
395	00:25:37	00:25:38	You're looking for only one guy.	N
396	00:25:38	00:25:41	Well, what about the breach-face marks on the casings?	N
397	00:25:41	00:25:42	Indeterminate.	N
398	00:25:42	00:25:43	Hmm.	N
399	00:25:46	00:25:50	Well, well... looks like you got zip.	N
400	00:25:50	00:25:54	I got a ton of people out interviewing every two-bit stiff that ever had a beef against Flynn.	N
401	00:25:54	00:25:56	They're all doing the smart thing-- keeping their mouth shut.	N
402	00:25:56	00:26:00	So have no statements or physical evidence indicating it was a hit on Flynn.	N
403	00:26:00	00:26:03	What we have is five dead bodies.	N
404	00:26:03	00:26:04	Yeah... why?	N
405	00:26:04	00:26:06	You know something I don't know?	N
406	00:26:06	00:26:08	Not yet.	N
407	00:26:10	00:26:12	Nick?	N
408	00:26:12	00:26:14	Smoke and mirrors.	N
409	00:26:17	00:26:24	If it was a hit, the guy came to the front door took out Al and Frankie, and got the witnesses.	Y
410	00:26:24	00:26:26	Bullets will confirm it.	N
411	00:26:26	00:26:30	Shooter was standing here when he shot Al...	Y
412	00:26:30	00:26:34	Bam. Once in the chest.	N
413	00:26:34	00:26:36	This is Flynn.	N
414	00:26:39	00:26:41	One miss...	N
415	00:26:44	00:26:46	one hit...	N
416	00:26:46	00:26:49	one through and through.	N
417	00:26:50	00:26:52	Headphones.	N
418	00:26:55	00:26:57	Ricochet.	N
419	00:27:02	00:27:03	Through and through.	N
420	00:27:27	00:27:29	Each victim gets a different color.	N
421	00:27:29	00:27:30	Blue beams are isolated.	N
422	00:27:30	00:27:33	The kid with the CD player was alone.	N
423	00:27:38	00:27:40	Flynn was closest to the door.	N
424	00:27:45	00:27:49	Shooter was positioned between Flynn and the front door.	Y
425	00:27:49	00:27:50	Flynn eats it...	N
426	00:27:51	00:27:53	and I would have taken out Big Al...	N
427	00:27:53	00:27:54	bodyguard first.	N
428	00:27:54	00:27:55	Me, too.	N
429	00:27:55	00:28:00	Ident found both of the bodyguards' paws on the counter.	N
430	00:28:16	00:28:20	What if the shooter was here when he shot Big Al?	Y
431	00:28:20	00:28:22	Big Al would already be dead.	N
432	00:28:22	00:28:23	It doesn't make any sense.	N
433	00:28:23	00:28:26	If the shooter walked through the front door.	Y
434	00:28:26	00:28:29	What if he came through the back?	N
435	00:28:35	00:28:38	Erin McCarty-- the employee who was supposed to close up.	N
436	00:28:38	00:28:42	Yeah, shot twice in the back while heading for the rear exit.	N
437	00:29:00	00:29:07	If she was headed towards the parking lot how do you explain this ricochet?	N
438	00:29:07	00:29:08	What?	N
439	00:29:11	00:29:13	Whoa...	N
440	00:29:15	00:29:16	Like this.	N
441	00:30:14	00:30:16	I love this job.	N
442	00:30:16	00:30:20	The ricochet went out into the store.	N
443	00:30:20	00:30:23	There's no hole in the door.	N
444	00:30:25	00:30:29	There's no hole in the door 'cause the door had to have been open.	N
445	00:30:32	00:30:40	Assuming Erin was running for her life the shooter follows her in the back room shoots her twice-- he would have been shooting toward the parking lot.	Y
446	00:30:40	00:30:42	He shot toward the parking lot first then toward the front of the store.	Y
447	00:30:43	00:30:45	He'd only shoot toward the front if there's somebody there.	Y
448	00:30:45	00:30:47	Someone was in the line of fire.	N
449	00:30:50	00:30:52	What if we have it backwards?	N
450	00:30:52	00:30:53	What if...	N
451	00:30:53	00:30:57	the shooting began back here... with Erin?	N
452	00:30:57	00:30:59	Yeah, and somebody else saw.	N
453	00:31:00	00:31:02	Frankie Flynn was an innocent bystander.	N
454	00:31:02	00:31:04	Wrong place, wrong time.	N
455	00:31:04	00:31:09	The target was Erin... the pregnant girl and the rest was damage control.	N
456	00:31:09	00:31:11	Adam Walkey doesn't have lice?	Y
457	00:31:11	00:31:12	Not even lice eggs.	N
458	00:31:13	00:31:14	Maybe he got rid of them since the other night.	Y
459	00:31:14	00:31:16	Delousing agents take time to kick in.	N
460	00:31:16	00:31:19	There would have been evidence of the infestation.	N
461	00:31:19	00:31:20	Hey... got good news.	N
462	00:31:20	00:31:22	Walkey's blood sample...	Y
463	00:31:22	00:31:24	Pseudomonas aeruginosa?	N
464	00:31:24	00:31:25	Fluorescent blue.	N
465	00:31:26	00:31:29	Same as the blood we found on Brian's knuckle.	N
466	00:31:29	00:31:31	Greg, start a DNA comparison.	N
467	00:31:31	00:31:33	This gives us enough to hold Walkey.	Y
468	00:31:33	00:31:36	It's just like Dr. Gilbert said...	N
