	Unnamed: 0	start	end	text	label
58	58	00:04:20	00:04:22	I snuck into my room and went to bed.	N
59	59	00:04:22	00:04:24	The sirens woke me up.	N
60	60	00:04:25	00:04:27	The sirens, huh?	N
61	61	00:04:28	00:04:31	You know, they never go home until they see the body taken away?	N
62	62	00:04:31	00:04:33	Necrophilic voyeurism.	N
63	63	00:04:41	00:04:42	Hot shoes.	N
64	64	00:04:42	00:04:43	You think these are sexy, huh?	N
65	65	00:04:43	00:04:56	Did you know that shoes like these put degenerative stress on the hip joints, throw off the curve of the spine, and the tilt to the pelvis, over time, women get headaches, sore backs, shortened calf muscles and bunions, of course.	N
66	66	00:04:56	00:04:58	I take it back.	N
67	67	00:04:59	00:05:00	First thoughts?	N
68	68	00:05:00	00:05:02	Vanessa Keaton was walking home.	N
69	69	00:05:02	00:05:05	She had a few. Her feet hurt.	N
70	70	00:05:05	00:05:06	She takes off her shoes.	N
71	71	00:05:06	00:05:09	Dolce vida.	N
72	72	00:05:14	00:05:15	There's no sign of blood or hair.	N
73	73	00:05:15	00:05:17	Nothing to suggest contact.	N
74	74	00:05:17	00:05:18	The fountain was on.	N
75	75	00:05:18	00:05:21	Maybe the action of the water washed away evidence.	N
76	76	00:05:21	00:05:23	How do we know it was an accident?	N
77	77	00:05:23	00:05:24	Maybe she wasn't alone.	N
78	78	00:05:26	00:05:27	We don't know that.	N
79	79	00:05:27	00:05:30	We're going to need a water sample and a bag for the shoe, of course.	N
80	80	00:05:30	00:05:32	Okay.	N
81	81	00:05:39	00:05:40	You okay to drive?	N
82	82	00:05:40	00:05:42	No.	N
83	83	00:05:42	00:05:46	After a triple and three back-to-back scenes, I'm tired.	N
84	84	00:05:46	00:05:48	I'm going to take a ten in the car before we head back.	N
85	85	00:05:48	00:05:51	That's better than bouncing off the curb, I guess.	N
86	86	00:05:51	00:05:52	Yeah.	N
87	87	00:05:52	00:05:56	Okay, you ready to run it?	N
88	88	00:05:56	00:05:58	Sure.	N
89	89	00:05:58	00:06:04	Landlord's working late, trying to fix up the place for the new tenant, kicking up dust, paint fumes.	N
90	90	00:06:04	00:06:06	Door's open for ventilation.	N
91	91	00:06:06	00:06:07	Killer strolls in.	N
92	92	00:06:07	00:06:10	Next thing you know, landlord's deli meat.	N
93	93	00:06:16	00:06:18	Well, we have this eviction notice.	N
94	94	00:06:18	00:06:20	So, that means no business.	N
95	95	00:06:20	00:06:24	No business, no cash, so that could rule out robbery as a motive.	N
96	96	00:06:24	00:06:27	I'm having Detective Cavalier run down the evicted tenants.	N
97	97	00:06:27	00:06:31	It's a Melissa Pooley and a Charlie Pincher.	N
98	98	00:06:31	00:06:32	Sorry, can't let you in.	N
99	99	00:06:34	00:06:36	Hey, you guys call yourselves investigators?	N
100	100	00:06:36	00:06:38	You've been here four hours.	N
101	101	00:06:38	00:06:39	You haven't figured this out yet?	N
102	102	00:06:39	00:06:40	Crime scene cleanup.	N
103	103	00:06:40	00:06:42	Blood bucket brigade.	N
104	104	00:06:42	00:06:45	Hey, I prefer bio- recovery services.	N
105	105	00:06:45	00:06:46	You know, it's funny.	N
106	106	00:06:46	00:06:48	I don't see an American Bio-Recovery badge.	N
107	107	00:06:48	00:06:55	See, all you really need is a strong stomach, a thorough knowledge of solvents, a little sensitivity, a little tact.	N
108	108	00:06:55	00:06:56	Whoa.	N
109	109	00:06:56	00:06:59	Man!	N
110	110	00:06:59	00:07:02	There must be three quarts of blood in there.	N
111	111	00:07:02	00:07:04	Hey, you're using anhydron.	N
112	112	00:07:04	00:07:06	I charge extra for that.	N
113	113	00:07:06	00:07:08	Cha-ching, cha-ching.	N
114	114	00:07:08	00:07:11	You got photos, swabs.	N
115	115	00:07:12	00:07:13	Did you finish the sketch?	N
116	116	00:07:13	00:07:14	Yeah.	N
117	117	00:07:14	00:07:15	Great.	N
118	118	00:07:15	00:07:18	Hey, you guys have done everything but leave.	N
119	119	00:07:18	00:07:20	What's the rush, Marty?	N
120	120	00:07:20	00:07:25	The wife of the deceased, she would like this mess cleaned up as soon as possible.	N
121	121	00:07:25	00:07:27	New tenant moves in on the first.	N
122	122	00:07:27	00:07:28	Okay, Marty.	N
123	123	00:07:28	00:07:30	I'll have the detective release the scene.	N
124	124	00:07:30	00:07:34	Well, I'll get my gear.	N
125	125	00:07:36	00:07:40	One of the most attractive women I've had on my table.	N
126	126	00:07:40	00:07:45	But beauty's skin deep and inside, we all look pretty much the same.	N
127	127	00:07:45	00:07:48	What about this abrasion?	N
128	128	00:07:48	00:07:50	Have you no poet in you?	N
129	129	00:07:50	00:07:51	Beauty is truth, truth, beauty.	N
130	130	00:07:52	00:07:55	That is all you know on Earth and all you need to know-- except cause of death.	N
131	131	00:07:55	00:07:57	Pulmonary edema due to drowning.	N
132	132	00:07:57	00:08:00	I sent samples of the water in her lungs to Trace.	N
133	133	00:08:00	00:08:03	The abrasion's serious enough to cause loss of consciousness.	N
134	134	00:08:03	00:08:04	You may want to look at this though.	N
135	135	00:08:04	00:08:06	You want to come over here?	N
136	136	00:08:06	00:08:08	Let's turn her over.	N
137	137	00:08:16	00:08:17	Puncture wounds?	N
138	138	00:08:17	00:08:21	Four, uniform diameter, perimortem, non-lethal.	N
139	139	00:08:21	00:08:23	No corresponding holes in her dress.	N
140	140	00:08:23	00:08:26	So she wasn't wearing it when she was stabbed.	N
141	141	00:08:26	00:08:28	Collected lubricant from the labia.	N
142	142	00:08:28	00:08:30	Which means, uh...	N
143	143	00:08:30	00:08:34	I don't know if she had a date with her husband or herself.	N
144	144	00:08:34	00:08:36	I sent an SAE kit to DNA.	N
145	145	00:08:36	00:08:43	Personal observation-- you don't wear La Perla to a Tupperware party.	Y
146	146	00:08:43	00:08:45	La Perla?	Y
147	147	00:08:46	00:08:47	Very expensive.	N
148	148	00:08:47	00:08:49	I gave some to my wife once.	N
149	149	00:08:49	00:08:51	She accused me of having an affair.	Y
150	150	00:08:51	00:08:53	You know, sex on the steel.	Y
151	151	00:08:55	00:08:57	Lubricant and lingerie.	N
152	152	00:08:57	00:09:01	I don't think the evening turned out the way she planned, do you?	Y
153	153	00:09:01	00:09:03	Nope.	Y
154	154	00:09:05	00:09:07	So your business goes bust and Mr. Visingi evicts you.	Y
155	155	00:09:08	00:09:10	Pac-Man, Pong, loved these games.	Y
156	156	00:09:10	00:09:12	Thought it was a sure thing.	Y
157	157	00:09:12	00:09:13	Well, today, it's all 3-D interactive.	Y
158	158	00:09:13	00:09:14	You know, I got kids.	Y
159	159	00:09:14	00:09:16	You want some advice? No.	Y
160	160	00:09:16	00:09:18	Never go into business with somebody you're sleeping with.	Y
161	161	00:09:18	00:09:20	Melissa Pooley? Bitch.	Y
162	162	00:09:20	00:09:22	We haven't been able to find her.	Y
163	163	00:09:23	00:09:24	You know where she is?	Y
164	164	00:09:24	00:09:26	We broke up. At least I think we broke up.	Y
165	165	00:09:26	00:09:29	She skipped town without telling me, stuck me with the rent.	Y
166	166	00:09:29	00:09:32	So you were angry at her, you were angry at him.	Y
167	167	00:09:32	00:09:33	I didn't kill him.	Y
168	168	00:09:33	00:09:36	He was holding your inventory hostage.	Y
169	169	00:09:36	00:09:38	How much you got tied up in Centipede and Space Invaders?	Y
170	170	00:09:38	00:09:40	Every penny I got.	Y
171	171	00:09:40	00:09:41	About 20K.	N
172	172	00:09:41	00:09:43	You must have wanted it back.	Y
173	173	00:09:43	00:09:47	Hey, did you stop by the store last night?	Y
174	174	00:09:47	00:09:50	No, but I called him.	N
175	175	00:09:50	00:09:52	Asked if we could maybe work something out.	N
176	176	00:09:52	00:09:55	Told me to go screw myself, he'd see me in court.	N
177	177	00:09:55	00:09:58	Mr. Pincher, I'm going to need to go ahead and get your fingerprints.	N
178	178	00:10:01	00:10:03	You're going to find my prints all over that place.	N
179	179	00:10:03	00:10:05	It was my store, mine and Melissa's.	N
180	180	00:10:05	00:10:08	I expect to find your prints in certain places, sir.	N
181	181	00:10:08	00:10:10	We're just doing this to rule you out.	N
182	182	00:10:10	00:10:13	Oh.	N
183	183	00:10:21	00:10:24	You alternate hands when you double glove?	N
184	184	00:10:24	00:10:25	Yes.	N
185	185	00:10:25	00:10:27	And I don't like being watched.	N
186	186	00:10:27	00:10:34	If you alternate, there's more contact between the exposed latex of the first glove and atmospheric microbes.	N
187	187	00:10:35	00:10:37	What?	N
188	188	00:10:38	00:10:48	You know, it would have been better if you didn't say anything, but you did making it impossible for me to concentrate, and now I have to sanitize and start over.	N
189	189	00:10:48	00:10:52	Hey, Hodges, you got the results of our drowning victim?	N
190	190	00:10:52	00:10:53	Yeah, in five.	N
191	191	00:10:53	00:10:55	I'm in the middle of the rest of my life.	N
192	192	00:10:55	00:10:57	Well, I kind of need them now.	N
193	193	00:11:00	00:11:02	I'll be back.	N
194	194	00:11:03	00:11:07	Good thing you didn't have to take a spelling test to work the field.	N
195	195	00:11:07	00:11:08	Funtain water?	N
196	196	00:11:09	00:11:11	My people are Norwegian.	N
197	197	00:11:11	00:11:12	That's how we spell it.	N
198	198	00:11:14	00:11:16	So, is the funtain water in her lungs?	N
199	199	00:11:16	00:11:18	All bodies of water contain unicellular algae.	N
200	200	00:11:18	00:11:20	Called diatoms.	N
201	201	00:11:20	00:11:21	They're unique, like fingerprints.	N
202	202	00:11:21	00:11:24	Diatoms from one body of water don't match those from any other.	N
203	203	00:11:24	00:11:25	Well, you're roughly right.	N
204	204	00:11:25	00:11:27	Here, take a look.	N
205	205	00:11:29	00:11:34	The diatoms on the left are from the water found in your victim's lungs and the diatoms on the right are from the fountain.	N
206	206	00:11:34	00:11:35	Not a match.	N
207	207	00:11:35	00:11:37	Not even close.	N
208	208	00:11:37	00:11:39	Which means she didn't drown there.	N
209	209	00:11:39	00:11:41	I'll throw you a bone.	N
210	210	00:11:41	00:11:44	She blew you off, didn't she?	Y
211	211	00:11:44	00:11:46	The water from the fountain is heavily chlorinated.	Y
212	212	00:11:46	00:11:47	No, she didn't blow me off.	N
213	213	00:11:47	00:11:48	I didn't ask her out.	N
214	214	00:11:48	00:11:53	But this sample, found in your vic's lungs, contains polymethylhexalene biguanide...	N
215	215	00:11:53	00:11:55	and anyway, I heard she blew you off first.	N
216	216	00:11:55	00:11:57	It's a chlorine alternative.	N
217	217	00:11:57	00:11:58	It's less irritating.	N
218	218	00:11:58	00:12:00	Vanessa Keaton died in a pool.	N
219	219	00:12:00	00:12:01	Or a spa...	N
220	220	00:12:01	00:12:06	And by the way, that's spelled S-P-A in any language.	N
221	221	00:12:06	00:12:13	Only new items brought into the arcade post-eviction were the tools, tarps and paint cans.	Y
222	222	00:12:13	00:12:15	No prints from Charlie Pincher on any of them.	N
223	223	00:12:15	00:12:19	Just the landlord and some unknowns on the saw.	N
224	224	00:12:19	00:12:21	No hits off of AFIS.	N
225	225	00:12:21	00:12:24	According to Cavalier, the table saw was a rental.	N
226	226	00:12:24	00:12:27	So, there could have been any number of prints on that one.	N
227	227	00:12:27	00:12:29	Yeah, but you don't just lie down when somebody's trying to kill you, man.	N
228	228	00:12:30	00:12:31	There had to have been a struggle.	N
229	229	00:12:31	00:12:33	Yeah, from that spinning blade, there was blood everywhere.	N
230	230	00:12:33	00:12:37	Some of it had to transfer to the killer's clothes and shoes.	N
231	231	00:12:37	00:12:39	I still like Charlie for this.	N
232	232	00:12:39	00:12:43	I know we don't have enough Excuse me, guys.	N
233	233	00:12:43	00:12:45	There's a Mr. Gleason to see you.	N
234	234	00:12:45	00:12:47	I told him you were busy.	N
235	235	00:12:47	00:12:48	He won't leave.	N
236	236	00:12:50	00:12:52	What's the problem, Marty?	N
237	237	00:12:52	00:12:54	You and you.	N
238	238	00:12:54	00:12:56	You treat me like a janitor, like a garbage man.	N
239	239	00:12:57	00:12:59	I'm a professional, same as you...	N
240	240	00:12:59	00:13:02	an unsung hero that's worthy of respect.	N
241	241	00:13:02	00:13:03	Okay, Marty...	N
242	242	00:13:03	00:13:06	You know exactly what I'm talking about.	N
243	243	00:13:06	00:13:07	The smell back at the store.	N
244	244	00:13:07	00:13:10	I know decomp as well as you, maybe better, okay?	N
245	245	00:13:10	00:13:11	So what was it?	N
246	246	00:13:11	00:13:13	Your lunch?	N
247	247	00:13:13	00:13:15	Rotten shrimp? Clams, maybe?	N
248	248	00:13:15	00:13:18	Whatever you hid there, I am going to find.	N
249	249	00:13:18	00:13:19	We didn't even bring lunch there, Marty.	N
250	250	00:13:19	00:13:21	And this wasn't a decomp scene.	N
251	251	00:13:21	00:13:22	You're jealous.	N
252	252	00:13:22	00:13:29	You're stuck in a dead-end civil service job while I'm grossing six figures.	N
253	253	00:13:29	00:13:30	Oh, six figures.	N
254	254	00:13:30	00:13:31	Yeah. Picture that.	N
255	255	00:13:31	00:13:32	We're colleagues.	N
256	256	00:13:32	00:13:36	My job starts where your job ends.	N
257	257	00:13:36	00:13:38	You should not be messing with me!	N
258	258	00:13:38	00:13:40	Nobody's messing with you, Marty.	N
259	259	00:13:50	00:13:52	Phew... ooh...	N
260	260	00:13:54	00:13:55	It's decomp.	N
261	261	00:13:55	00:13:57	Subtle, but it's in here.	N
262	262	00:13:57	00:13:59	The nose knows.	N
263	263	00:13:59	00:14:00	How'd we miss that?	N
264	264	00:14:00	00:14:02	We were tired.	N
265	265	00:14:04	00:14:05	Did you steam clean?	N
266	266	00:14:05	00:14:09	Yeah. The heating process must have brought the smell out.	N
267	267	00:14:09	00:14:15	You know, I don't get paid until this place smells like Eternity for Men.	Y
268	268	00:14:19	00:14:20	Could be a dead rat.	N
269	269	00:14:20	00:14:23	Lot of possibilities.	N
270	270	00:14:23	00:14:25	I don't know.	Y
271	271	00:14:25	00:14:27	Your guess is as good as mine.	Y
272	272	00:14:30	00:14:31	I know how to find it.	N
273	273	00:14:40	00:14:41	Okay, rich guy.	N
274	274	00:14:41	00:14:45	Shut down your gear, you're taking us to lunch.	N
275	275	00:14:48	00:14:49	Crack runs right through the deep end.	N
276	276	00:14:50	00:14:51	Had to drain it.	N
277	277	00:14:51	00:14:55	Half the neighbors have cracked slabs, leaky roofs.	N
278	278	00:14:55	00:14:59	This was perfect when Vanessa and I moved in.	N
279	279	00:14:59	00:15:01	Place isn't built to last.	N
280	280	00:15:01	00:15:05	Mr. Keaton, I know this must be hard for you and your daughter.	Y
281	281	00:15:05	00:15:07	Why are you here?	Y
282	282	00:15:07	00:15:10	Your wife didn't die in a fountain.	N
283	283	00:15:10	00:15:13	We're taking water samples of every pool and spa in this community.	N
284	284	00:15:13	00:15:15	Was there swimming at the Brady's party?	N
285	285	00:15:15	00:15:17	Why?	N
286	286	00:15:17	00:15:18	Routine question.	N
287	287	00:15:18	00:15:21	Some, I guess.	N
288	288	00:15:21	00:15:23	It was that kind of party.	N
289	289	00:15:23	00:15:24	Was your wife in the pool?	N
290	290	00:15:24	00:15:25	She could have been.	N
291	291	00:15:25	00:15:27	After I left.	N
292	292	00:15:27	00:15:30	What does this have to do with her accident?	N
293	293	00:15:30	00:15:33	Did anyone behave inappropriately towards her?	N
294	294	00:15:33	00:15:37	We were with our friends.	N
295	295	00:15:37	00:15:38	Our best friends.	N
296	296	00:15:38	00:15:42	I wouldn't have left her there if I didn't think she was safe.	N
297	297	00:15:48	00:15:50	No one's allowed to treat their pools with chlorine.	N
298	298	00:15:50	00:15:51	It's in the homeowners' regulations.	N
299	299	00:15:51	00:15:52	What the hell is going on?	N
300	300	00:15:52	00:15:53	They have a warrant.	N
301	301	00:15:53	00:15:55	A warrant for what?	N
302	302	00:15:55	00:15:57	When was the last time you had your pool cleaned?	N
303	303	00:15:57	00:15:59	Guy was here this morning. Why?	N
304	304	00:15:59	00:16:01	We're asking the questions, Mr. Brady.	N
305	305	00:16:02	00:16:04	Look, look... we're all in shock.	N
306	306	00:16:04	00:16:09	Vanessa was one of those people who was so alive, so much fun So, tell me about last night.	N
307	307	00:16:09	00:16:11	Was it a special occasion?	N
308	308	00:16:11	00:16:13	We just had the neighbors in for cocktails.	N
309	309	00:16:14	00:16:15	We do it once a month.	N
310	310	00:16:15	00:16:16	We, uh... we all take turns.	N
311	311	00:16:17	00:16:19	Was Mrs. Keaton wearing this dress last night?	N
312	312	00:16:19	00:16:21	Yes.	N
313	313	00:16:22	00:16:24	I noticed-- I have the same one in pink.	N
314	314	00:16:24	00:16:26	You notice anything else, anything out of the ordinary?	N
315	315	00:16:26	00:16:28	Like an argument or a fight?	N
316	316	00:16:28	00:16:31	No, no, no. We are a friendly group.	N
317	317	00:16:31	00:16:32	Did she leave alone?	N
318	318	00:16:33	00:16:36	Yes. Her husband left about an hour earlier.	N
319	319	00:16:36	00:16:37	He seem upset when he left?	N
320	320	00:16:37	00:16:39	Not that I noticed.	N
321	321	00:16:39	00:16:43	Vanessa's death was an accident, right?	N
322	322	00:16:43	00:16:45	Got it.	N
323	323	00:16:47	00:16:49	May we take a look inside your house?	N
324	324	00:16:49	00:16:53	Look wherever you want.	N
325	325	00:17:09	00:17:14	Well, by the way you've cleaned up, Mrs. Brady, I wouldn't even know you had a party in here last night.	N
326	326	00:17:14	00:17:15	Thank you.	N
327	327	00:17:15	00:17:17	What kind of party was it?	N
328	328	00:17:17	00:17:20	A mixer.	N
329	329	00:17:50	00:17:51	Mrs. Brady, would you join me in here, please?	N
330	330	00:17:55	00:17:57	Where are your other skewers?	N
331	331	00:17:57	00:17:59	I don't know.	N
332	332	00:18:25	00:18:29	Well, cleanliness is next to godliness.	N
333	333	00:18:38	00:18:47	After overhead and costs, 50 cents a pound for waste disposal, I clear about three to five bills a job.	N
334	334	00:18:47	00:18:49	How many cases do you get a week?	N
335	335	00:18:49	00:18:52	How many cases do you do a week?	N
336	336	00:18:52	00:18:54	Rate gets us ten to 20.	N
337	337	00:18:54	00:18:55	Ditto.	N
338	338	00:18:55	00:18:59	You trying to tell me you make between three and ten grand a week?	N
339	339	00:18:59	00:19:04	You've got to be authorized to clean up biologicals.	Y
340	340	00:19:04	00:19:10	If some high school wage slave mops up a nose bleed at Mickey D's, they're breaking the law.	Y
341	341	00:19:10	00:19:14	I've got three employees making 30 bucks an hour.	N
342	342	00:19:14	00:19:18	If you guys are interested in earning a little extra on the side?	Y
343	343	00:19:18	00:19:20	Working for you, no thanks.	Y
344	344	00:19:20	00:19:24	Crime rate is on the rise, my friends.	Y
345	345	00:19:24	00:19:27	You'd be wise to get in on the ground floor.	Y
346	346	00:19:27	00:19:32	I am thinking about starting a franchise in Arizona.	Y
347	347	00:19:32	00:19:33	Retirees die messy.	Y
348	348	00:19:33	00:19:36	Like, bodies been on the floor for a while.	N
349	349	00:19:36	00:19:39	Sometimes you got to replace the entire floor.	Y
350	350	00:19:39	00:19:44	Oh, look, I install floors, and drywall.	N
351	351	00:19:45	00:19:49	Ceilings, too, and homeowner's insurance picks up the tab.	N
352	352	00:19:49	00:19:51	What's going on, Marty? You're still here?	N
353	353	00:19:51	00:19:53	You promised the place would be clean.	N
354	354	00:19:53	00:19:56	I found a contractor to finish the work.	N
355	355	00:19:56	00:19:58	It's out of my hands, ma'am.	N
356	356	00:19:58	00:20:01	The lab boys, they haven't quite released the scene yet.	N
357	357	00:20:01	00:20:04	They're moving at the speed of government.	N
358	358	00:20:04	00:20:08	How are you doing with the funeral arrangements?	N
359	359	00:20:08	00:20:10	Your cousin is taking very good care of me, thank you.	N
360	360	00:20:10	00:20:13	We are here for you.	N
361	361	00:20:13	00:20:18	Now, I tell you what, I'm going to call you as soon as I'm done, okay?	N
362	362	00:20:18	00:20:20	Thank you, ma'am.	N
363	363	00:20:23	00:20:25	You should be ashamed of yourself, Marty.	N
364	364	00:20:25	00:20:28	Oh, no. The bereaved often find a Southern accent very comforting.	N
365	365	00:20:31	00:20:35	Comfort is what I give these people, living victims.	N
366	366	00:20:35	00:20:37	The kind you guys never deal with.	N
367	367	00:20:37	00:20:41	I see people on the worst day of their lives.	N
368	368	00:20:41	00:20:45	In a small way, I make their world normal again.	N
369	369	00:20:56	00:20:58	Oh!	N
370	370	00:20:58	00:21:02	Well, it smells like eternity for somebody in here.	N
371	371	00:21:02	00:21:05	The plastic must have covered the smell.	N
372	372	00:21:09	00:21:10	Oh!	N
373	373	00:21:23	00:21:25	Holy mackerel. Bitch in a box.	N
374	374	00:21:25	00:21:27	Hey, hey, hey.	N
375	375	00:21:27	00:21:28	I'm sorry. I'm sorry.	N
376	376	00:21:28	00:21:29	I get paid by the body.	N
377	377	00:21:32	00:21:37	Nine vibrators, five plugs, four strands of beads.	N
378	378	00:21:37	00:21:41	And a partridge in a pear tree.	N
379	379	00:21:41	00:21:47	Some kids are happy playing in the sand box, others want every toy in the store.	N
380	380	00:21:47	00:21:49	And apparently these are dishwasher safe.	N
381	381	00:21:49	00:21:54	I'll swab the nooks and crannies for semen, vaginal secretions and epithelials, but don't get your hopes up.	N
382	382	00:21:54	00:21:56	Oh, my money's on bag number two.	N
383	383	00:21:56	00:21:58	26 used condoms.	N
384	384	00:21:58	00:22:00	Just like being back in college, right?	N
385	385	00:22:00	00:22:03	Sara said you didn't lose your virginity until you were 22.	N
386	386	00:22:05	00:22:09	Grissom and I figured that they practiced safe sex, so we processed their trash.	N
387	387	00:22:09	00:22:10	Check them inside and out, please.	N
388	388	00:22:10	00:22:13	I've analyzed condoms before, Greg.	N
389	389	00:22:13	00:22:14	Just not in bulk.	N
390	390	00:22:19	00:22:20	Skewers?	N
391	391	00:22:20	00:22:22	Yeah, screen them for blood.	N
392	392	00:22:22	00:22:23	Possible weapon.	N
393	393	00:23:28	00:23:31	Dental records ID'd the body found in the arcade machine.	N
394	394	00:23:31	00:23:34	Your ex-girlfriend Melissa Pooley.	Y
395	395	00:23:34	00:23:36	She didn't leave town after all.	N
396	396	00:23:36	00:23:37	You want to revise your story?	Y
397	397	00:23:37	00:23:40	We also found semen in her vaginal cavity.	Y
398	398	00:23:41	00:23:42	It matches your dead landlord.	N
399	399	00:23:42	00:23:46	Your girlfriend was paying rent on her back and you didn't like it.	N
400	400	00:23:46	00:23:47	You had sex with our landlord?	Y
401	401	00:23:47	00:23:50	At least I got off my ass and did something about it.	Y
402	402	00:23:54	00:23:55	That didn't happen.	N
403	403	00:23:55	00:23:58	She told me she convinced Visingi to give us more time on the rent.	N
404	404	00:23:58	00:23:59	I-I didn't know she was banging the guy.	N
405	405	00:23:59	00:24:01	We don't care why you killed her.	N
406	406	00:24:01	00:24:02	I didn't kill her!	N
407	407	00:24:02	00:24:07	Visingi evicts you, keeps your stuff and now you've got a big problem.	N
408	408	00:24:07	00:24:10	Yeah, the dead body someone crammed into Ms. Pac-Man.	N
409	409	00:24:10	00:24:14	You can keep the rest of it! All I want is Ms. Pac-Man!	Y
410	410	00:24:14	00:24:15	Get the hell out of here.	Y
411	411	00:24:21	00:24:29	Mr. Pincher, when someone is killed with a table saw, blood gets everywhere-- your hair and your clothes.	Y
412	412	00:24:29	00:24:34	You would have had to take a long, hot shower, wash your clothes, clip your nails, toss your shoes.	N
413	413	00:24:34	00:24:39	Are you sure you got it all, Charlie?	N
414	414	00:24:39	00:24:42	Hmm?	N
415	415	00:24:44	00:24:45	That's a nice watch.	N
416	416	00:24:45	00:24:48	It was my dad's.	N
417	417	00:24:48	00:24:49	I was admiring the band.	N
418	418	00:24:50	00:24:53	Lots of open spaces and nonporous surfaces.	N
419	419	00:24:53	00:24:56	That's a perfect place for blood to hide, don't you think, Greg?	N
420	420	00:24:56	00:24:57	Yeah.	N
421	421	00:24:57	00:24:59	There's a chemical I use called phenylthaline.	N
422	422	00:24:59	00:25:03	It can detect a speck of blood the size of a pinprick.	N
423	423	00:25:06	00:25:09	I bet if I take that watch it's going to tell me more than time, isn't it?	N
424	424	00:25:13	00:25:16	You mind baby-sitting him while I get a warrant?	N
425	425	00:25:16	00:25:17	I just went to the arcade to scare him.	N
426	426	00:25:17	00:25:20	Things got out of hand. Did you kill him?	N
427	427	00:25:20	00:25:21	It was an accident.	N
428	428	00:25:21	00:25:24	You guys have got to believe me, I did not kill Melissa.	N
429	429	00:25:24	00:25:25	I didn't even know she was dead.	N
430	430	00:25:32	00:25:35	I know that you got the memo, I'm not sure that you read it.	N
431	431	00:25:35	00:25:38	Eckley is being promoted to Assistant Director.	N
432	432	00:25:38	00:25:42	They are taking applications for his supervisor spot on days. I want it.	N
