	start	end	text
49	00:04:02	00:04:04	I think the vehicle was making a three-point turn.
50	00:04:04	00:04:08	And it seems that robbery may be a motive after all.
51	00:04:10	00:04:12	Wow!
52	00:04:12	00:04:13	Rampart.
53	00:04:13	00:04:16	Guess I'll go check that out.
54	00:04:16	00:04:17	You can't.
55	00:04:17	00:04:22	We found the body under the Whiskey Town sign and the guy just cleaned out the Rampart Casino.
56	00:04:22	00:04:24	Coincidence.
57	00:04:24	00:04:26	Even if it is, they're still Sam Braun's casinos.
58	00:04:26	00:04:28	Why is that a problem?
59	00:04:28	00:04:29	He's your father.
60	00:04:29	00:04:31	You can't be on this case.
61	00:04:31	00:04:35	Gil... Catherine, you have to go home.
62	00:05:21	00:05:22	No ticks. It's authentic.
63	00:05:26	00:05:28	Logo sticker isn't worn down.
64	00:05:28	00:05:29	Watch could be new.
65	00:05:29	00:05:31	Guy hits the jackpot, has to celebrate.
66	00:05:31	00:05:35	Goes and buys some bling-bling to impress the strippers with.
67	00:05:36	00:05:37	What have you got?
68	00:05:39	00:05:41	Air conditioned socks.
69	00:05:46	00:05:47	Insurance?
70	00:05:51	00:05:54	Dealer wins.
71	00:05:54	00:05:55	Seven!
72	00:06:03	00:06:06	24 is even.
73	00:06:14	00:06:18	So, I talked to the pit boss who signed the vic's W-2.
74	00:06:18	00:06:19	He was pulling surveillance.
75	00:06:19	00:06:21	He remembers the big winner.
76	00:06:23	00:06:25	Sam Braun!
77	00:06:25	00:06:26	What a surprise!
78	00:06:28	00:06:31	The fat kid... he was cheating.
79	00:06:31	00:06:33	What do you do about it?
80	00:06:33	00:06:34	Well, we had a little chat.
81	00:06:34	00:06:36	I didn't kill him.
82	00:06:36	00:06:37	Did you take him to the box?
83	00:06:37	00:06:40	Gentlemen, these days, we call it the holding room.
84	00:06:49	00:06:52	Smells like the cleaning crew just left.
85	00:07:02	00:07:07	Security brought the kid 00 a.m.
86	00:07:07	00:07:08	I came in.
87	00:07:08	00:07:10	We talked.
88	00:07:10	00:07:12	00.
89	00:07:15	00:07:17	It's all in there.
90	00:07:17	00:07:18	Well, good.
91	00:07:18	00:07:20	We'll look at the tapes a little later.
92	00:07:20	00:07:22	Would you turn off the lights, please?
93	00:07:27	00:07:31	It's well within my rights to have a discussion with anyone in my place.
94	00:07:31	00:07:34	The kid was cheating.
95	00:07:34	00:07:36	I wanted to know how.
96	00:07:36	00:07:39	Nobody wins 400K at roulette.
97	00:07:39	00:07:41	What's your system?
98	00:07:41	00:07:44	Clean living... good karma.
99	00:07:44	00:07:47	But either you call the cops and book me now, or I'm out of here.
100	00:07:47	00:07:50	You're no longer welcome at the Rampart.
101	00:07:50	00:07:52	Awesome.
102	00:07:52	00:07:55	Okay, I'll take my money and go.
103	00:07:55	00:08:00	Do you have any idea the house advantage in roulette?
104	00:08:00	00:08:07	5.26% Albert Einstein had a theory about roulette.
105	00:08:07	00:08:11	He said the only way to win at roulette is to steal the money from the table when the croupier isn't looking.
106	00:08:11	00:08:14	There's always someone looking.
107	00:08:18	00:08:21	Well, maybe it was an inside job, Sam.
108	00:08:21	00:08:24	Maybe somebody bought off one of your guys.
109	00:08:25	00:08:27	I'm curious.
110	00:08:27	00:08:29	What bothers you more?
111	00:08:29	00:08:34	The fact that you couldn't pin a murder on me or that Catherine cashed my check?
112	00:08:39	00:08:41	There were no strings on that money.
113	00:08:43	00:08:47	Just because you can't see something doesn't mean it's not there.
114	00:08:47	00:08:50	Believe whatever you like.
115	00:08:50	00:08:53	That kid walked out of here with my money.
116	00:08:53	00:08:58	If you figure out how he ripped me off, would you let me know?
117	00:09:02	00:09:05	For what it's worth, these bruises correspond to the holes in his sock.
118	00:09:05	00:09:08	Well, he's been worked over pretty good.
119	00:09:08	00:09:10	He's got a nice fat lip.
120	00:09:10	00:09:12	Yeah.
121	00:09:12	00:09:16	There was a good clot in the wound, and the tissues were contused.
122	00:09:16	00:09:19	I'd say it occurred at least an hour or two before death.
123	00:09:20	00:09:26	I teased out a couple of small- caliber projectiles from his brain.
124	00:09:26	00:09:30	One was embedded in the right frontal cortex.
125	00:09:30	00:09:33	The other lodged in the first cervical vertebra.
126	00:09:33	00:09:35	It's copper-washed lead.
127	00:09:35	00:09:37	Must be a .22.
128	00:09:37	00:09:41	You know, historically, .22s were the hit man's bullet of choice.
129	00:09:41	00:09:48	They have the energy to enter into the cranial vault, but not enough to exit, so they just ricochet around inside, shredding the gray matter until they stop.
130	00:09:49	00:09:50	Nice.
131	00:09:50	00:09:57	There's also extensive crush injury to both hands, with fractures of the metacarpals and the phalanges.
132	00:09:57	00:09:59	Bruises appear perimortem.
133	00:09:59	00:10:02	Any idea what might have caused that kind of damage?
134	00:10:02	00:10:06	Given the fracture pattern, I'd guess it was some sort of blunt object.
135	00:10:06	00:10:09	Maybe a ball peen hammer.
136	00:10:09	00:10:10	What gets you to that?
137	00:10:10	00:10:16	They used to tell me back in the days, the first time you got caught cheating, they'd give you a couple whacks on the hand with a ball peen hammer.
138	00:10:16	00:10:18	Ow.
139	00:10:18	00:10:19	The second time, you'd lose a limb.
140	00:10:19	00:10:21	Third time?
141	00:10:21	00:10:24	A long walk in the desert with a shovel.
142	00:11:00	00:11:01	A computer in his shoe.
143	00:11:01	00:11:04	As far as I could tell, it's a wireless receiver.
144	00:11:04	00:11:10	It picks up a signal, solenoids drive the points up against the guy's foot, tells him what number to bet.
145	00:11:10	00:11:11	Based on what?
146	00:11:11	00:11:12	I don't know.
147	00:11:12	00:11:13	Archie's working on it right now.
148	00:11:13	00:11:17	Well, if our vic was the receiver, there has to be a transmitter.
149	00:11:17	00:11:18	Hey, I got an ID on our vic.
150	00:11:18	00:11:19	A Teddy Keller.
151	00:11:19	00:11:23	Everyone who buys a Rolex gets registered at the point of purchase.
152	00:11:23	00:11:24	So I ran the serial number.
153	00:11:24	00:11:27	He bought the watch at the Forum Shops two days ago.
154	00:11:27	00:11:29	And I got his home address.
155	00:11:29	00:11:33	Well, his driver's license was fake, so, this could be fake, too.
156	00:11:34	00:11:35	A fake ID is for scamming a casino.
157	00:11:35	00:11:38	A baller puts his real name on a Roley.
158	00:11:38	00:11:40	What? He rubs off.
159	00:11:42	00:11:44	Teddy Keller.
160	00:11:44	00:11:46	That's Apartment 27.
161	00:11:46	00:11:48	Is he in some kind of trouble?
162	00:11:48	00:11:50	Hey, John. Hey, Mr. Green.
163	00:11:50	00:11:52	When was the last time you saw him?
164	00:11:52	00:11:53	I don't know.
165	00:11:53	00:11:55	He's got a roommate-- Davis Mullens.
166	00:11:55	00:11:59	Oh, yeah, they eat a tremendous amount of pizza.
167	00:11:59	00:12:02	Tremendous amount of pizza and calzone.
168	00:12:02	00:12:07	I feel like bopping that delivery guy every time he buzzes the gate.
169	00:12:07	00:12:08	Here we are.
170	00:12:11	00:12:13	Anybody home?
171	00:12:14	00:12:16	Hello?
172	00:12:16	00:12:19	I guess the roommate's out, huh?
173	00:12:27	00:12:29	It's freezing in here.
174	00:12:32	00:12:35	Get a load of this wheel.
175	00:12:36	00:12:39	It's regulation.
176	00:12:39	00:12:41	These things run about 1,500 bucks.
177	00:12:41	00:12:44	Well, they cleared almost half a mil.
178	00:12:44	00:12:46	It's a good investment.
179	00:12:46	00:12:48	Yeah.
180	00:12:56	00:12:59	These guys definitely had a system.
181	00:13:01	00:13:03	Hey, Rick, you might want to check this out.
182	00:13:13	00:13:15	Looks like the roommate's home after all.
183	00:13:20	00:13:21	Two taps to the head.
184	00:13:23	00:13:25	Deja vu.
185	00:13:34	00:13:36	These guys liked to play dress-up.
186	00:13:36	00:13:38	You find any shoes back there?
187	00:13:43	00:13:44	I'm looking.
188	00:13:49	00:13:50	Blood smear here.
189	00:13:54	00:13:55	Maybe the killer tried to clean up.
190	00:13:56	00:13:57	That's ridiculous.
191	00:13:57	00:13:59	Why bother?
192	00:13:59	00:14:00	Okay.
193	00:14:00	00:14:04	Have a distinctive white mark on his right shoulder.
194	00:14:06	00:14:08	What do you make of that?
195	00:14:08	00:14:10	You already shot me down once.
196	00:14:10	00:14:13	Look, uh, it could be right.
197	00:14:13	00:14:14	Thanks.
198	00:14:14	00:14:16	Can you make sure that gets to Trace?
199	00:14:16	00:14:18	Yeah. Sure.
200	00:14:22	00:14:24	Hey, what're you doing, touching that?
201	00:14:24	00:14:25	You got gloves?
202	00:14:25	00:14:28	Relax. I got it covered.
203	00:14:28	00:14:32	Hey, Rick, remember the time you said you could get a print off of air?
204	00:14:32	00:14:33	Yeah.
205	00:15:12	00:15:14	So you just got the day off?
206	00:15:14	00:15:16	Just... Just like that?
207	00:15:16	00:15:17	Are you complaining?
208	00:15:17	00:15:18	No.
209	00:15:18	00:15:23	You just seem a little pissed off about it.
210	00:15:23	00:15:25	I like it.
211	00:15:26	00:15:27	You like that?
212	00:15:29	00:15:31	Depends on what you're gonna do with it.
213	00:15:32	00:15:35	Pretty expensive taste for a public servant.
214	00:15:35	00:15:37	She can afford it.
215	00:15:38	00:15:40	You going to introduce him?
216	00:15:40	00:15:41	Mr. Braun.
217	00:15:41	00:15:43	Chris Bezich.
218	00:15:43	00:15:44	It's a pleasure to meet you.
219	00:15:44	00:15:47	Your hosts, send a lot of your whales to my club, Acid Drop.
220	00:15:47	00:15:49	That's great.
221	00:15:49	00:15:51	Just give us a minute.
222	00:15:51	00:15:53	Okay.
223	00:15:53	00:15:54	What do you want?
224	00:15:54	00:15:57	Mugs, I heard you had some time off because of me.
225	00:15:57	00:16:00	I could get fired for even having this conversation. Relax.
226	00:16:00	00:16:01	Vegas is a small town.
227	00:16:01	00:16:03	I'm always running into people I know.
228	00:16:03	00:16:05	Just cut to the chase, Sam.
229	00:16:05	00:16:09	Some people in this town think I'm a murderer.
230	00:16:09	00:16:11	Some people in this town know you're a murderer.
231	00:16:12	00:16:13	I did not kill those kids.
232	00:16:13	00:16:14	I did not! Kids?
233	00:16:14	00:16:16	How do you know there's more than one?
234	00:16:16	00:16:17	Cath...
235	00:16:17	00:16:19	I'm fine.
236	00:16:19	00:16:21	You're not impressing her.
237	00:16:22	00:16:24	I'll be in touch.
238	00:16:44	00:16:46	You and Sam Braun...
239	00:16:46	00:16:49	He slept with my mother.
240	00:16:49	00:16:53	The glass fragments you found at the apartment building are primarily lead-based.
241	00:16:53	00:16:58	Different curvatures and textures with traces of florescent powder, phosphorus and mercury.
242	00:16:58	00:16:59	Neon glass.
243	00:16:59	00:17:01	I checked out that graveyard once.
244	00:17:01	00:17:03	Pretty interesting.
245	00:17:03	00:17:05	The comparison?
246	00:17:05	00:17:08	Your sample's consistent with the glass collected from the first crime scene.
247	00:17:08	00:17:09	See?
248	00:17:09	00:17:10	That connects the two murders.
249	00:17:10	00:17:13	We've got a timeline.
250	00:17:14	00:17:15	Hey.
251	00:17:15	00:17:16	Hey.
252	00:17:21	00:17:22	Everything okay?
253	00:17:23	00:17:25	This is about the key CSI position.
254	00:17:25	00:17:26	Grissom recommended me.
255	00:17:28	00:17:30	Congratulations.
256	00:17:30	00:17:33	It's not necessary.
257	00:17:33	00:17:34	Position was cut.
258	00:17:34	00:17:40	Budget had room for the new promotion or a new Qiagen, Bio Robot EZ-1.
259	00:17:40	00:17:42	Greg will be thrilled.
260	00:17:42	00:17:44	Yeah.
261	00:17:45	00:17:48	Oh, well, it's just an honor to be nominated, right?
262	00:17:51	00:17:55	Grissom, I have been in Vegas my whole life.
263	00:17:55	00:18:02	I've known guys who counted cards, hedged bets, crushed a poker table with a lowball pair.
264	00:18:02	00:18:04	I've seen guys beat the house with their hands...
265	00:18:04	00:18:07	but never with their toes.
266	00:18:08	00:18:12	Transmitter and receiver.
267	00:18:12	00:18:17	I was reading about these Silicon Valley types in the '80s called the... Eudaemonic Enterprises.
268	00:18:17	00:18:19	Have you heard of them?
269	00:18:19	00:18:20	The Eudaemon.
270	00:18:20	00:18:24	Aristotle's presiding spirit of rationality.
271	00:18:24	00:18:27	They say they figured out a way to beat the roulette wheel.
272	00:18:27	00:18:30	Not through a betting system, but through physics.
273	00:18:30	00:18:33	It's simple in principle.
274	00:18:33	00:18:35	A fixed mass in a known orbit.
275	00:18:35	00:18:42	As long as you can account for all the forces-- air resistance, friction, gravity-- you can land a probe on Mars.
276	00:18:42	00:18:45	Every roulette wheel is a little different.
277	00:18:45	00:18:47	Tilt, wobble, bounce...
278	00:18:47	00:18:57	The guy with the transmitter does the calibration, clocks the position of the ball, hits the switch...
279	00:18:57	00:18:59	and the computer does the rest.
280	00:18:59	00:19:06	Plays out the spin in milliseconds, Predicts the result, then transmits a code to the receiver about where that ball will land.
281	00:19:06	00:19:08	All right, big money, big money!
282	00:19:08	00:19:10	$1,000 on four, 22, five and 17.
283	00:19:10	00:19:13	It's number 22.
284	00:19:16	00:19:19	This setup gives you a 44-percent advantage over the house.
285	00:19:19	00:19:25	For every hundred these guys bet, they're pulling in $2,200 an hour.
286	00:19:25	00:19:26	Nice return.
287	00:19:26	00:19:28	But it's a complicated system.
288	00:19:28	00:19:29	Complicated, huh?
289	00:19:30	00:19:31	Maybe for a couple of pizza majors.
290	00:19:31	00:19:34	But not for an electrical engineering grad student.
291	00:19:34	00:19:38	AFIS got a hit on the print off the transmitter in the shoe.
292	00:19:38	00:19:41	Seth Landers. WLVU.
293	00:19:41	00:19:44	Got busted a few years ago for making fake IDs.
294	00:19:48	00:19:50	Seth Landers doesn't have a roommate.
295	00:19:51	00:19:52	No answer at his door.
296	00:19:52	00:19:54	Guy's in the wind.
297	00:19:54	00:19:57	If someone hit my boys all mob-style I'd disappear, too, you know?
298	00:19:57	00:20:00	Yeah, I guess we're gonna have to do this the hard way.
299	00:20:00	00:20:02	I'll put out a broadcast.
300	00:20:02	00:20:03	Wait a minute.
301	00:20:03	00:20:04	Hey, kid...
302	00:20:04	00:20:05	you know Seth Landers?
303	00:20:07	00:20:09	Uh-oh.
304	00:20:14	00:20:15	Stop!
305	00:20:20	00:20:21	Don't kill me! Don't kill me!
306	00:20:21	00:20:24	Please! I'll do whatever Mr. Braun wants!
307	00:20:24	00:20:25	Please don't kill me! Please! Las Vegas Police.
308	00:20:25	00:20:27	You Seth Landers? Yeah.
309	00:20:27	00:20:28	Seth Landers? Yes!
310	00:20:28	00:20:29	Let's go.
311	00:20:33	00:20:37	Jacking Sam Braun's casino at roulette-- that was gutsy... and smart.
312	00:20:38	00:20:43	And since you weren't the one placing the bet, I guess that makes you the smart one.
313	00:20:43	00:20:49	Your boys right here-- Teddy and Davis, the candid camera.
314	00:20:49	00:20:51	They came to me. It was their idea.
315	00:20:51	00:20:57	Judging from what we found in your apartment, looks like you made their idea work.
316	00:20:57	00:20:59	I built the computers to put in the shoes.
317	00:20:59	00:21:00	That's all.
318	00:21:00	00:21:03	Your partners cleared half a mil on your skills.
319	00:21:03	00:21:06	Dollar signs get involved, things get ugly, huh?
320	00:21:06	00:21:09	Scam was 20 to 30K a night, max.
321	00:21:09	00:21:11	We hit Pike's. Next day, Tangiers.
322	00:21:11	00:21:13	Everything was great.
323	00:21:13	00:21:18	We made 50 grand, and then Teddy and Davis got greedy.
324	00:21:18	00:21:23	You can't crush a roulette table like that, and not expect someone to notice.
325	00:21:23	00:21:25	The Tangiers, Pike's, Rampart...
326	00:21:25	00:21:27	these are all Sam Braun's places.
327	00:21:27	00:21:29	You got something against him?
328	00:21:29	00:21:30	No.
329	00:21:30	00:21:32	His casinos are old school.
330	00:21:32	00:21:33	They're low tech.
331	00:21:33	00:21:36	There's less interference for my gear.
332	00:21:36	00:21:37	Your gear...
333	00:21:39	00:21:41	What was your cut?
334	00:21:41	00:21:44	I didn't get one. I just got paid for my supplies and my time. That's all.
335	00:21:44	00:21:46	Yeah, picture that!
336	00:21:46	00:21:49	It was a challenge. I just wanted to see if I could make it work.
337	00:21:49	00:21:51	Any idea where the money is?
338	00:21:51	00:21:53	Why don't you ask Sam Braun?
339	00:21:56	00:22:00	When they took Teddy to the box, I was sure we were busted.
340	00:22:00	00:22:03	Davis freaked. He split.
341	00:22:03	00:22:08	And then when he came out with the money, everything was great.
342	00:22:08	00:22:11	For about two seconds.
343	00:22:11	00:22:15	They grabbed him and led him outside.
344	00:22:15	00:22:18	That was the last time I saw either one of them.
345	00:22:26	00:22:28	What are you doing?
346	00:22:28	00:22:31	I'm testing my podiatric dexterity.
347	00:22:31	00:22:33	What are you doing?
348	00:22:33	00:22:36	Uh, you know those tracks that we found at the neon graveyard?
349	00:22:36	00:22:39	The ones from the case you're not working on?
350	00:22:39	00:22:41	Yeah, those.
351	00:22:41	00:22:43	Sam...
352	00:22:43	00:22:45	used to be a Caddy man.
353	00:22:45	00:22:47	He would drive a new one every year.
354	00:22:47	00:22:49	These days, he's being driven.
355	00:22:49	00:22:51	And you know this because...?
356	00:22:51	00:22:52	I saw him.
357	00:22:52	00:22:54	He came to me.
358	00:22:54	00:22:55	And you walked away, I hope.
359	00:22:55	00:22:57	I made him walk away from me.
360	00:22:57	00:23:01	Right into a stretch limo with a big turning radius.
361	00:23:01	00:23:02	That doesn't prove anything.
362	00:23:02	00:23:05	Besides, any evidence that comes from you is tainted.
363	00:23:06	00:23:07	Then have it come from you.
364	00:23:07	00:23:09	Warrant shouldn't be hard to get.
365	00:23:09	00:23:13	Especially if the call comes from someone whose character is above reproach.
366	00:23:30	00:23:32	Nick said the budget for the promotion was cut.
367	00:23:32	00:23:35	240 inches-- 20 feet.
368	00:23:35	00:23:37	He also said you recommended him.
369	00:23:41	00:23:43	I did.
370	00:23:50	00:23:53	Possible neon glass fragment.
371	00:24:20	00:24:22	You said you didn't have a problem with me.
372	00:24:23	00:24:25	I don't.
373	00:24:26	00:24:31	I thought that Nick was the best candidate for the position.
374	00:24:33	00:24:35	Why?
375	00:24:36	00:24:40	Because he didn't care whether he got the job or not.
376	00:24:40	00:24:43	That's a stupid reason.
377	00:24:50	00:24:52	We've got blood.
378	00:24:58	00:25:00	Handle your scandal.
379	00:25:04	00:25:06	Sam Braun?
380	00:25:06	00:25:09	You're under arrest for the murder of Teddy Keller.
381	00:25:09	00:25:11	Is this some kind of joke?
382	00:25:11	00:25:13	I'm not laughing.
383	00:25:15	00:25:19	Call my lawyer. This won't take long.
384	00:25:20	00:25:20	Sam?
385	00:25:22	00:25:24	I'm parked out front.
386	00:25:43	00:25:48	As much as my client appreciates your flair for the dramatic, the show's over, gentlemen.
387	00:25:48	00:25:50	What do you have?
388	00:25:50	00:25:56	The tire patterns at the scene of Teddy Keller's murder are consistent with the wheel base and turning radius of your client's limousine.
389	00:25:56	00:26:00	As well as every other limo in Vegas.
390	00:26:00	00:26:03	We also found neon glass embedded in all four tires.
391	00:26:03	00:26:04	The whole town's a construction site.
392	00:26:05	00:26:06	It's a tenuous link, at best.
393	00:26:06	00:26:12	Well, then... how did his blood end up in the back of your client's limousine?
394	00:26:13	00:26:17	You waited until Teddy cleared the security cameras...
395	00:26:22	00:26:24	We're not through talking, kid.
396	00:26:24	00:26:26	And then you took him for a ride...
397	00:26:26	00:26:27	Vegas style.
398	00:26:27	00:26:30	Just like the old days.
399	00:26:39	00:26:42	Let me show you what I do to cheaters.
400	00:26:43	00:26:46	No, no!
401	00:26:54	00:26:56	My client offered the young man a ride home.
402	00:26:56	00:27:03	They stopped briefly at the neon graveyard, where they held a private conversation regarding the ethics of defrauding a casino.
403	00:27:04	00:27:07	That must have been some chat.
404	00:27:07	00:27:09	We know he left the casino with the money.
405	00:27:09	00:27:14	The young man returned the money as a sign of respect for my client and his position in the community.
406	00:27:14	00:27:16	I'm sure he did.
407	00:27:16	00:27:18	So, what next?
408	00:27:18	00:27:20	You gonna tell me you're being set up?
409	00:27:20	00:27:23	It happens to you a lot, huh, Sam?
410	00:28:16	00:28:24	Your smudge from that second kid's shirt-- I got a spectral library match to Sherwin-Williams EverClean interior paint, Navajo White.
411	00:28:26	00:28:28	Anything distinctive? I would have mentioned it.
412	00:28:28	00:28:30	Sometimes a paint sample's just a paint sample.
413	00:28:30	00:28:31	Yeah.
414	00:28:31	00:28:33	You still liking Braun for these murders?
415	00:28:33	00:28:35	Yeah, why? Something change?
416	00:28:35	00:28:38	I'm thinking Seth Landers and his pals had a woody for him.
417	00:28:38	00:28:43	I went back to the Rampart, and I took some electronic noise measurements.
418	00:28:43	00:28:46	The place is a mess of interference.
419	00:28:46	00:28:48	Electronics in old casinos aren't shielded.
420	00:28:48	00:28:53	So, you're saying that the shoe computers would've worked better in one of the new casinos on the Strip?
421	00:28:53	00:28:58	Definitely. A kid as smart as Seth wouldn't make a mistake like that.
422	00:28:58	00:29:00	Then it was intentional.
423	00:29:01	00:29:03	Maybe personal.
424	00:29:45	00:29:47	So, this is your casino of choice?
425	00:29:47	00:29:49	That's what your tenants said.
426	00:29:49	00:29:51	Sir, could you tell us about Seth Landers?
427	00:29:51	00:29:54	That's my son. Is he okay?
428	00:29:55	00:29:59	Let's stop playing dumb, Mr. Greene, huh?
429	00:29:59	00:30:01	Would you mind stepping away from the machine?
430	00:30:01	00:30:04	You're staring over my shoulder, you're looking at me.
431	00:30:04	00:30:05	You're jinxing me, and I'm gonna have to...
432	00:30:05	00:30:07	How's that? Is that better?
433	00:30:09	00:30:11	What happened to your hand?
434	00:30:11	00:30:14	I had an accident a long time ago.
435	00:30:14	00:30:15	Sam Braun do that with a hammer?
436	00:30:16	00:30:17	I'm sorry, I don't know who that person is.
437	00:30:17	00:30:19	Who is that?
438	00:30:19	00:30:21	I don't like to talk about my hand, okay?
439	00:30:21	00:30:22	Well, that's too bad.
440	00:30:22	00:30:24	'Cause you know what?
441	00:30:24	00:30:28	Today... this is your life.
442	00:31:04	00:31:08	Joe Greene-- AKA Joe Landers.
443	00:31:08	00:31:10	They're old friends.
444	00:31:12	00:31:14	Sorry to break up the reunion, fellas.
445	00:31:14	00:31:16	Mr. Greene... Mr. Landers...
446	00:31:16	00:31:18	Which is it? It's Greene.
447	00:31:18	00:31:20	Come with me.
448	00:31:21	00:31:24	Do your hands hurt when it rains, Joe?
449	00:31:26	00:31:29	Do I know you?
450	00:31:38	00:31:41	The exclusion/exemption clause means you don't get to gamble.
451	00:31:41	00:31:42	Period.
452	00:31:42	00:31:44	Not even the quarter slots at the Gas-and-Go.
453	00:31:44	00:31:48	Don't you have something better to do?
454	00:31:48	00:31:52	Like find out who murdered those two kids in number 27.
455	00:31:52	00:31:53	You got any theories?
456	00:31:53	00:31:55	It was your apartment building.
457	00:31:55	00:31:58	Your son Seth fingered the guy you were sitting next to.
458	00:31:58	00:31:59	A guy you don't know.
459	00:31:59	00:32:01	The guy who put you in the Black Book.
460	00:32:01	00:32:06	No. The Gaming Commission put me in the Black Book.
461	00:32:06	00:32:07	Yeah, for cheating, Joe.
462	00:32:07	00:32:08	I did not cheat.
463	00:32:09	00:32:10	I did not cheat.
464	00:32:10	00:32:13	I didn't have to cheat.
465	00:32:13	00:32:15	I beat the casinos.
466	00:32:15	00:32:18	I beat 'em, and they ganged up on me, and, uh...
467	00:32:18	00:32:21	that was it, they didn't want me there anymore.
468	00:32:21	00:32:26	You beat Sam Braun's casino and he ended your gambling career.
469	00:32:26	00:32:29	You're barred from the casinos for life.
470	00:32:29	00:32:31	That sounds like motive to me.
471	00:32:31	00:32:34	Motive for what, playing the quarter slots?
472	00:32:34	00:32:35	Come on.
473	00:32:35	00:32:39	Okay, look, here's a quiz.
474	00:32:39	00:32:44	Teddy Keller, Davis Mullins and your son Seth were caught fleecing the Rampart.
475	00:32:44	00:32:46	Now two of 'em are dead.
476	00:32:46	00:32:49	I had no idea what those two boys were doing.
477	00:32:49	00:32:53	But I will tell you this-- I will tell you that my son is a good kid, he's a good boy.
478	00:32:53	00:32:56	Then why'd you put him in the middle of your action?
479	00:32:56	00:32:58	Why'd you use him to settle an old score?
480	00:32:58	00:33:00	Maybe Sam Braun's innocent.
481	00:33:00	00:33:04	Maybe Seth whacked his partners because he got caught.
482	00:33:04	00:33:13	Stop looking at my son, stop looking at me, and start looking at Sam.
483	00:33:16	00:33:18	Garbage detail called it in.
484	00:33:18	00:33:21	Says they didn't touch it.
485	00:33:23	00:33:26	Well, this is Seth Landers' dorm.
486	00:33:28	00:33:29	There's a lot of garbage build up.
487	00:33:29	00:33:31	When was the last pick-up?
488	00:33:31	00:33:33	Day before yesterday.
489	00:33:33	00:33:34	End of finals party last night.
490	00:33:34	00:33:35	Looks like blood.
491	00:33:36	00:33:38	Let's hope the killer left his DNA behind.
492	00:33:38	00:33:43	.22 revolver, two live rounds, four expended.
493	00:33:43	00:33:46	Should be able to pull some prints off it.
494	00:33:46	00:33:48	Gun's a relic.
495	00:33:48	00:33:50	Doesn't matter if it still works.
496	00:34:02	00:34:04	There you go.
497	00:34:13	00:34:16	The test fire matches the bullet found in Teddy Keller's body.
498	00:34:16	00:34:18	So we've got our murder weapon.
499	00:34:18	00:34:21	Yeah, we found our murder weapon.
500	00:34:21	00:34:22	I don't know.
501	00:34:22	00:34:28	The kid thinks up this elaborate scheme to cheat the casinos.
502	00:34:28	00:34:30	Then he kills his partners.
503	00:34:31	00:34:32	But he dumps his gun at his dorm?
504	00:34:32	00:34:33	An RG .22.
505	00:34:33	00:34:36	That's not a very bad ass' first weapon of choice.
506	00:34:36	00:34:40	No, it's a small caliber weapon for an up-close-and-personal hit.
