	sentence	killer_gold	medion_time
186	are they all women	N	00:12:30.784
187	the ratio of mtfs to ftms is four to one	N	00:12:33.139
188	males to females rather than females to males	N	00:12:36.165
189	bev is one of my patients	N	00:12:38.985
190	right	N	00:12:40.665
191	now who has n't done their pride walk	N	00:12:41.742
192	i have n't	N	00:12:42.819
193	the law requires re-gender candidates to spend one year on hormones and one living as the sex of preference	N	00:12:46.684
194	wendy wanted to fast-track the process and i would n't do that	N	00:12:51.543
195	i guess she found somebody who would	N	00:12:54.504
196	every field has its bottom feeders	N	00:12:57.081
197	surgery is the easy part	N	00:12:59.254
198	life afterwards is the challenge	N	00:13:00.949
199	some candidates get depressed	N	00:13:02.985
200	they 're unhappy about their lives and they think surgery is going to chase away all their emotional problems	N	00:13:06.482
201	dr mercerwendy did n't commit suicide	N	00:13:09.786
202	she was killed	N	00:13:11.424
203	oh god	N	00:13:14.242
204	i am so sorry	N	00:13:17.865
205	as ready as my patients are for the world i guess the world is n't always ready for them	N	00:13:21.601
206	hey	N	00:13:24.664
207	anything on those pads i collected	N	00:13:26.081
208	uh yeah traces of edta	N	00:13:28.664
209	is n't that an anticoagulant	N	00:13:30.566
210	yeah	N	00:13:31.684
211	used in blood-collection vials	N	00:13:32.803
212	so it was n't the victim 's blood	N	00:13:34.235
213	no it was hers	N	00:13:35.651
214	his	N	00:13:37.186
215	hers	N	00:13:38.925
216	but no epithelials or fibrinogen so clearly it was n't menstrual	N	00:13:40.763
217	so wendy was having blood drawn and putting it on pads	N	00:13:43.445
218	she was faking her period	N	00:13:46.185
219	what i do n't get is why she would do that	N	00:13:56.286
220	well she was living as a woman and that 's part of it	N	00:13:58.856
221	i-i do n't know	N	00:14:00.955
222	yeah but you do n't draw your own blood	N	00:14:03.006
223	i mean she had to have help	N	00:14:04.684
224	maybe the same doctor that was keeping her medicine cabinet filled	N	00:14:07.365
225	hey these are the pills eric collected from wendygarner 's bathroom	N	00:14:11.243
226	for the record i really like having a pen1s	N	00:14:14.886
227	okay the reds and blues are bootleg estrogen conjugates out of mexico	N	00:14:18.961
228	apparently hmo 's do n't consider being differently sexed a life-threatening condition	N	00:14:23.524
229	so patients resort to mexican pharmacies	N	00:14:26.966
230	premarin 's green a heavy-duty hormonal supplement	N	00:14:30.206
231	name 's short for pregnant mare urine talk about your peta nightmare	N	00:14:33.644
232	what about these other pills	N	00:14:36.363
233	mexican-grade painkillers tranquilizers and a broad-spectrum antibiotic	N	00:14:40.143
234	sounds like a post-surgery cocktail to me	N	00:14:44.623
235	grissom	N	00:14:49.186
236	yes	N	00:14:50.585
237	mimosa	N	00:14:53.406
238	yes	N	00:14:54.766
239	today	N	00:14:57.585
240	the apple martini one o'clock	N	00:15:00.494
241	i 'll be there	N	00:15:02.189
242	did you just get a lunch date	N	00:15:06.121
243	hello	N	00:15:33.635
244	i 'm glad you agreed to meet me	N	00:15:35.131
245	can i buy you a drink	N	00:15:37.045
246	thanks but i 'm still on the clock	N	00:15:39.041
247	but you still let me lure you away from the lab	N	00:15:41.626
248	is that because i 'm a beautiful woman	N	00:15:44.464
249	well i 'm a beautiful woman now	N	00:15:48.395
250	beauty is a societal construction	N	00:15:51.091
251	so is gender	N	00:15:55.605
252	people find out you 're mtf and they think you 're psycho michael caine with a bad wig and a pair of sunglasses stabbing angie dickinson in dressed to kill	N	00:16:01.602
253	de palma had some issues	N	00:16:07.081
254	you 're an outsider	N	00:16:10.565
255	that 's why i trusted you	N	00:16:12.482
256	you get it	N	00:16:14.443
257	do n't worry mr grissom	N	00:16:18.426
258	this is n't about sex	N	00:16:21.344
259	it 's about soul	N	00:16:24.914
260	what was it you that you wanted to trust me with	N	00:16:26.808
261	i loved wendy	N	00:16:29.002
262	i was there with her through her whole transition	N	00:16:33.364
263	i was going to be her maid of honor	N	00:16:36.442
264	do you know how hard it is for people like us to find love	N	00:16:39.802
265	do you know what happened	N	00:16:43.205
266	she called me hysterical	N	00:16:45.281
267	uh i do n't know	N	00:16:48.824
268	she kept going on about avideo tape or something	N	00:16:51.100
269	what kind of tape do you know	N	00:16:53.066
270	blackmail	N	00:16:54.386
271	pornography	N	00:16:55.706
272	porn	N	00:16:57.226
273	oh my god	N	00:16:58.625
274	wendy was such a prude she 'd cover the mirror when she got out of the shower	N	00:17:01.284
275	people confuse your obsession with sexuality as an obsession with sex	N	00:17:05.562
276	imagine being three years old tormented by the sensation that you had the wrong parts	N	00:17:11.504
277	your body 's like a foreign country and you 're stuck without a passport	N	00:17:17.561
278	all because in your first trimester your x and y chromosomes split off and went different directions girl brain boy body	N	00:17:25.242
279	it 's like the guiterman poem amoebas at the start were not complex but then they tore themselves apart and started sex	N	00:17:35.124
280	well in the beginning wendy 's chromosomes might have been tearing themselves apart but in the end she was tearing herself apart	N	00:17:43.986
281	do you know why	N	00:17:48.656
282	i do n't know	N	00:17:49.554
283	planning a wedding working a rookie virgin and about to lose her cherry to a man who does n't know	N	00:17:52.766
284	so she talked to you	N	00:17:56.545
285	she talked about it in group	N	00:17:58.581
286	may i ask the name of your therapist	N	00:18:01.047
287	dr lavalle	N	00:18:05.282
288	hey i 've been looking for you	N	00:18:22.456
289	you found me	N	00:18:24.396
290	i analyzed the blood on the shoes you gave me	N	00:18:26.576
291	i expected it to be wendy 's blood	N	00:18:28.675
292	it 's not hers and it 's not officer mann s	N	00:18:31.343
293	so it might be the killer s	Y	00:18:34.406
294	well given the nature of this case it might be misleading but i 'll ask anyway male or female	N	00:18:38.705
295	one donor	N	00:18:41.815
296	all male	N	00:18:43.271
297	lepidro	N	00:18:49.405
298	what kind of name is that	N	00:18:51.243
299	it 's from lepidoptera meaning butterfly walterclancy started out a gender-dysmorphic caterpillar and turned into a bloody butterfly	N	00:18:55.142
300	love hurts	N	00:18:58.786
301	bye-bye scrumptious pumpkin	N	00:19:01.465
302	bye amber	N	00:19:03.342
303	dr lavalle	Y	00:19:06.339
304	no i 'm francis	Y	00:19:07.405
305	my wife is the doc	Y	00:19:08.471
306	grownups always do that	N	00:19:10.094
307	it 's gender-stereotyping honey	N	00:19:11.948
308	okay francis	Y	00:19:13.699
309	i 'm jimbrass lasvegas police	N	00:19:15.003
310	this is gilgrissom from the crime lab	N	00:19:16.307
311	well if i 'm being intrusive please tell me but i mean why are you here	Y	00:19:18.822
312	wendygarner	N	00:19:22.683
313	i know wendy	Y	00:19:25.535
314	she 's a patient	N	00:19:26.911
315	she was a patient	N	00:19:28.785
316	my wife is in group	Y	00:19:33.846
317	this is really frustrating	N	00:19:36.521
318	they do n't get it	N	00:19:38.814
319	she is a beautiful woman now and i love her	N	00:19:40.668
320	our pastor does n't know	N	00:19:42.506
321	you need to tell him	N	00:19:43.985
322	the truth goes a long way	N	00:19:45.464
323	mona	N	00:19:48.726
324	these folks need to speak to you	N	00:19:50.404
325	eddie would you take over	N	00:19:53.446
326	sure	N	00:19:54.964
327	in the sanctuary alliance i saw an eritrean girl who had her labia sewn shut	N	00:20:00.304
328	i looked into her eyes and i found a cause	N	00:20:04.264
329	six thousand women a day suffer genital mutilation	N	00:20:08.165
330	so you travel around the world treating the victims of sexual treachery	N	00:20:11.844
331	you do n't have to travel to find the genitally disenfranchised	N	00:20:15.605
332	like wendygarner	N	00:20:18.206
333	wendy came to me	N	00:20:19.724
334	she was denied surgery	N	00:20:21.696
335	that 's devastating	N	00:20:23.795
336	i tried to help her work through that	N	00:20:26.355
337	by finding a doctor who would operate on her	N	00:20:29.051
338	by working with her on what made her an unacceptable candidate which was	N	00:20:32.142
339	patience	N	00:20:35.024
340	when was the last time you saw her	N	00:20:38.443
341	last night	N	00:20:40.643
342	7:00 to 8:00 for her individual consultation	N	00:20:40.699
343	how did she seem	N	00:20:41.605
344	she was agitated	N	00:20:43.363
345	she was worried about whether her fiancée would receive her well on their wedding night	N	00:20:46.762
346	so he did n't know	N	00:20:50.441
347	i do n't recommend what we call passing i suggested that aaron come at a group	N	00:20:52.921
348	wendy was adamant that he never know the truth	N	00:20:56.505
349	doctor do you videotape your sessions	N	00:21:00.542
350	no never	N	00:21:03.524
351	that would violate the doctor-patient privilege	N	00:21:05.919
352	wendy lived here at 118 sunshine road in green valley	N	00:21:09.704
353	she left her weekly session with dr lavalle at 8:00 p.m here	N	00:21:14.306
354	now officer mann pulled her over on industrial road 24 minutes later	N	00:21:18.244
355	well she was found dead two miles south of there supposedly on her way to her friend mimosa 's house here	N	00:21:21.805
356	takes ten minutes to drive from the clinic to industrial road	N	00:21:25.262
357	yeah	N	00:21:29.322
358	i had greg run it	N	00:21:33.524
359	classic	N	00:21:35.445
360	fourteen minutes of wendy 's time unaccounted for	N	00:21:36.465
361	that 's what i 'm saying	N	00:21:38.421
362	she must 've stopped somewhere between the clinic and where officer mann clocked her doing ninety	N	00:21:42.064
363	somewhere in this highlighted area	N	00:21:45.495
364	yeah but there 's nothing out there	N	00:21:47.031
365	not so fast	N	00:21:48.759
366	sara found this in the medicine cabinet	N	00:21:50.344
367	it 's a post-it	N	00:21:51.929
368	g-105 section e what does that have to do with her medicine cabinet	N	00:21:54.866
369	does n't have anything to do with the medicine cabinet	N	00:21:58.375
370	i thought it was map coordinates or something like that but it 's not	N	00:22:01.111
371	you know what they have a lot of up in this area	N	00:22:05.423
372	storage facilities	N	00:22:14.823
373	what 's the number again	N	00:22:22.226
374	g-105	N	00:22:23.784
375	should be right down here	N	00:22:25.343
376	hey hey watch your step	N	00:22:26.833
377	watch your step	N	00:22:27.925
378	i got footprints	N	00:22:29.017
379	those look like bloody footprints	N	00:22:32.654
380	yeah	N	00:22:34.508
381	nick hit the lights	N	00:23:14.345
382	oh god	N	00:23:18.184
383	catherine	N	00:23:42.955
384	yeah	N	00:23:44.053
385	what do you think went on here	N	00:23:45.842
386	someone outsourced their health care to the wrong provider	N	00:23:48.964
387	at least something was sterile	N	00:23:58.762
388	maybe why i 'm not getting any prints	N	00:24:03.121
389	hey	N	00:24:05.124
390	hi jim	N	00:24:06.318
391	so i uh	N	00:24:07.604
392	i talked to the manager	N	00:24:08.639
393	all he said was the renter paid cash he was a guy he seemed normal	Y	00:24:12.023
394	normal people do n't torture people in storage bins	N	00:24:16.684
395	piano wires	N	00:24:31.986
396	they 're used to mobilize the lower part of the abdominal skin and anchor the neo-vagina so it can heal in place	N	00:24:35.544
397	i can only imagine those cramps	N	00:24:38.482
398	the surgeon stuffs the portal with a cylinder wrapped in gauze to hold its shape while it heals and sutures it	N	00:24:42.445
399	and how long does milady have to wear a wire	N	00:24:47.062
400	well after five days the virgin is un-sutured and the wires are removed	N	00:24:51.242
401	scarring indicates multiple surgeries	N	00:24:55.143
402	she appears to have gone in for repair due to infection	N	00:24:58.484
403	i take it that was n't supposed to happen	N	00:25:01.505
404	maybe someone was n't taking their hormones	N	00:25:03.621
405	or they were taking some bad mexican bootlegs	N	00:25:06.223
406	now that is more than a five o'clock shadow	N	00:25:09.086
407	it 's a myth that hair grows after death	N	00:25:11.847
408	what happens is the skin contracts revealing whiskers	N	00:25:15.181
409	contraction of the erector pilae muscles combined with fixed lividity indicates time of death was at least two days ago	N	00:25:20.043
410	so she died before wendy	N	00:25:24.104
411	yeah sad as this is it presents as accidental	N	00:25:26.300
412	loss of blood due to hemorrhaging	N	00:25:28.454
413	pelvic artery was severed	N	00:25:30.228
414	my theory surgery one they botched	N	00:25:32.575
415	round two they repaired her to death	N	00:25:35.152
416	hi	N	00:27:06.354
417	do you know a vernsaldusky aka tawny peaches vava	N	00:27:09.210
418	one second honey	N	00:27:12.246
419	okay	N	00:27:15.584
420	you want to talk to mercedes	N	00:27:21.922
421	she 's in the back	N	00:27:25.083
422	thank you	N	00:27:27.736
423	you 're welcome	N	00:27:28.794
424	thanks	N	00:27:30.767
425	i 've never seen junkies shoot up in the face before	N	00:27:36.584
426	it 's not smack it 's silicone	N	00:27:56.245
427	gives you good cheek bones	N	00:28:00.356
428	the ones who ca n't buy silicone shoot motor oil	N	00:28:02.415
429	do they	N	00:28:04.266
430	calm down pretty boy	N	00:28:05.586
431	we 're not the monsters	N	00:28:08.284
432	the real freaks are the suit-and-ties want to take a walk on the wild side before sneaking back to the wife and kids	N	00:28:12.038
433	want to go	N	00:28:14.445
434	mm-mm	N	00:28:15.161
435	mercedes i presume	N	00:28:16.986
436	we 're with the lasvegas crime lab and we 're looking for somebody	N	00:28:19.586
437	is n't this where you say my p.o	N	00:28:23.025
438	would be interested to know that i 'm hustling and you ask for a freebie	N	00:28:26.981
439	i 'm actually not interested in your ass but the person we 're looking for is a human butcher who might be	N	00:28:31.385
440	i 'm listening	N	00:28:34.466
441	the game is helping transgenders who have been turned down for surgery	N	00:28:37.682
442	you want benway	N	00:28:50.796
443	benway did my transition but something went wrong	N	00:28:52.776
444	and now i ca n't be a man or a woman	N	00:28:54.412
445	want to see	N	00:28:55.382
446	no	N	00:28:56.353
447	no that 's all right	N	00:28:58.082
448	no it 's not all right	N	00:28:59.935
449	he keeps canceling my corrective surgery	N	00:29:01.152
450	that may be why you 're still alive	N	00:29:02.956
451	a friend of mine had to go back four times	N	00:29:05.015
452	finally he fitted her with a colostomy bag	N	00:29:07.316
453	benway felt so bad he hooked it up for free	N	00:29:09.534
454	where can we find this humanitarian	N	00:29:11.904
455	bulgaria romania bosnia one of the ias i do n't know	N	00:29:14.100
456	he flies in and flies out	N	00:29:16.504
457	no one 's ever seen him	N	00:29:19.135
458	he shows up as you go under and splits before you come to	N	00:29:21.791
459	do you know vernsaldusky	N	00:29:23.904
460	you mean tawny	N	00:29:25.138
461	yeah benway just did her	N	00:29:27.286
462	jacqui got an afis hit off the bloody fingerprint from the toothpaste tube found in vern 's virgin	N	00:29:33.543
463	wow	N	00:29:37.266
464	came back a dr karlbenway military service	N	00:29:39.925
465	well we found out that this creepy looking thing is an abdominal retractor used to keep the cavity open during surgery	N	00:29:46.382
466	it 's only sold in surgical supply stores	N	00:29:50.865
467	and other than hospitals the only individual who 's purchased one in the last year and a half in lasvegas nevada is dr karlbenway	N	00:29:55.923
468	we know the name of the butcher	N	00:30:00.635
469	okay	N	00:30:06.825
470	what do you know about him and do we have an address	N	00:30:08.702
471	total dead end he 's not registered with the ama he 's not in the dmv database he has no passport issued in the state of nevada	N	00:30:12.944
472	so we 've got a non-doctor who served in the military who does n't drive and never leaves the country	N	00:30:19.857
473	sara you asked for some research	N	00:30:22.805
474	microfiche	N	00:30:25.255
475	medical journals	N	00:30:26.791
476	the stacks	N	00:30:29.106
477	there 's not a lot on this guy but this is what i 've been able to find	N	00:30:31.865
478	vietnam vet served as medic	N	00:30:33.380
479	then it looks like he did a short stint with the sanctuary alliance in ghana	N	00:30:35.301
480	he goes from ghana to mexico where he 's arrested and deported for performing illegal abortions	N	00:30:39.665
481	was his medical license revoked	N	00:30:42.099
482	no	N	00:30:43.145
483	benway never went to medical school	N	00:30:45.181
484	in 1983 he was arrested for protesting outside the supreme court	N	00:30:48.244
485	1987 san francisco chronicle article	N	00:30:51.555
486	he was interviewed at an anti-nuke rally	N	00:30:54.092
487	and photographed	N	00:30:56.664
488	you know what	N	00:31:00.542
489	i believe dr lavalle is dr benway	N	00:31:05.386
490	boy you must get pretty jet-lagged flying back and forth to bulgaria	N	00:31:10.202
491	or is it romania karl	N	00:31:14.023
492	i have n't been karlbenway for a very long time	N	00:31:19.423
493	yeah like three days ago when you killed vernsaldusky at the e-z access storage unit	N	00:31:23.686
494	that 's a hell of a place for an operating room	N	00:31:27.823
495	i mean why not go all the way and use the men 's room at the bus station	N	00:31:31.306
496	we found your fingerprint there	N	00:31:34.345
497	i never said i was n't there	N	00:31:36.143
498	i attended vern 's surgery	N	00:31:38.134
499	he was terrified	N	00:31:39.988
500	i tried to calm him	N	00:31:42.685
501	ca n't get any calmer than dead	N	00:31:44.523
502	i 'm a counselor	N	00:31:49.127
503	is that how your fingerprint ended up on a three-day-old virgin	N	00:31:51.687
504	counseling	N	00:31:53.644
505	i 've devoted my life to helping those who are cast out by gender prejudice	N	00:32:01.683
506	where would these souls be without me	N	00:32:04.905
507	who will stand in judgment	N	00:32:06.845
508	as to who 's a candidate and who 's not	N	00:32:08.362
509	dr mercer	N	00:32:09.879
510	i was the only one willing to help them	N	00:32:13.081
511	i was nineteen in the rice paddies of vietnam sewing legs back on grunts	N	00:32:19.645
512	i performed abortions in mexico on rape victims when the church turned its back on them	N	00:32:26.565
513	i have been doing gender reassignment surgery for ten years	N	00:32:31.541
514	you 've been performing surgeries without a medical degree	N	00:32:34.756
515	doctor	N	00:32:37.054
516	how many vern 's have there been	N	00:32:41.846
517	how many wendy s	N	00:32:44.402
518	vern was an unfortunate tragedy	N	00:32:53.202
519	i have no idea what happened to wendy	N	00:32:56.904
520	she saw you with vern	N	00:32:59.256
521	so you killed her so she would n't expose you	N	00:33:01.276
522	that 's impossible	N	00:33:03.624
523	after i saw wendy at the clinic i went straight to my daughter 's soccer game	N	00:33:07.464
524	i have nothing more to say	N	00:33:12.601
525	we need you to say ahh	N	00:33:15.241
526	so i heard brass arrested dr lavalle who is really dr benway	N	00:33:19.052
527	mm-hmm	N	00:33:20.664
528	which means her dna is male	N	00:33:22.276
529	right	N	00:33:24.546
530	in one of the latex gloves at the storage facility i found female dna	N	00:33:27.146
531	well vern was a male and dr lavalle was a male	N	00:33:29.841
532	so the doctor had help	N	00:33:32.282
533	this is absurd	N	00:33:36.736
534	this is ridiculous	N	00:33:38.036
535	what you have done to my wife is disgraceful	Y	00:33:39.336
536	you 're not gon na find anything here	N	00:33:40.636
537	officer could you escort this man outside	Y	00:33:42.186
538	this is discrimination	N	00:33:43.665
539	we are normal people trying to live a normal life	Y	00:33:46.285
540	i think we have a spitter my friend	Y	00:33:50.965
541	really	N	00:33:53.586
542	oh yeah	N	00:33:55.065
543	i 'll check the back	N	00:33:59.186
544	all right	N	00:34:00.665
545	take her home	N	00:34:32.546
546	would you just get her out of here	N	00:34:34.264
547	can i take care of my daughter please	Y	00:34:37.903
548	francis what is going on	Y	00:34:41.106
549	daddy what 's going on	Y	00:34:42.394
550	it 's okay honey	N	00:34:43.088
551	amber 's gon na take you home	N	00:34:43.782
552	i want to go with you	Y	00:34:44.476
553	i know	Y	00:34:45.170
554	where 's mommy	N	00:34:46.824
555	mommy 's gon na be right back	N	00:34:48.692
556	i ca n't take her	N	00:34:49.822
557	i have the night shift at the hospital	N	00:34:50.952
558	fr	N	00:34:51.985
559	she should n't be seeing this	N	00:34:52.582
560	she 's your kid too	N	00:34:53.179
561	take some responsibility	N	00:34:53.777
562	okay fine	N	00:34:54.776
563	good	N	00:34:55.834
564	put your belt on	N	00:34:59.775
565	come on can you pull it	N	00:35:01.072
566	get out of the way	N	00:35:05.788
567	i do n't understand why i 'm here	N	00:35:13.682
568	well you 're here because i compared your dna from this cigarette butt to sweat recovered from the inside of a latex glove at the crime scene	N	00:35:18.785
569	look	N	00:35:23.446
